stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,201.48,0,0,0,58.78,0,0,0,82.66,73.77
12hpf,199.73,10.21,13.5,6.98,68.38,17.88,1.99,9.91,104.08,56.6
14hpf,107.12,4.63,13.36,32.37,36.3,19.82,0,2.35,48.93,27.56
16hpf,113.05,9.01,7.1,31.39,40.54,18.6,5.46,1.79,47.1,38.44
19hpf,170.03,0,1.93,1.69,40.87,16.44,1.63,0,9.12,24.04
24hpf,234.8,4.23,14.62,20.54,98.73,51.41,18.66,1.85,57.79,19.08
2dpf,866.79,8.1,32.82,92.78,308.3,612.68,91.98,3.23,151.75,109.67
3dpf,1798.27,4.46,3.7,17.16,24.1,353.95,13.79,0,21.05,16.31
5dpf,198.6,10.54,35.11,52.65,40.84,489.86,51.75,18.82,72.76,118
10dpf,861.19,22.06,15.22,36.55,25.39,287.37,20.4,1.42,36.34,27.06
