stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,158.35
12hpf,0,0,0,0,0,0,0,0,60.43
14hpf,0,6.1,0,0,0,0,0,0,249.2
16hpf,3.57,0,0,6.71,0,0,0,0,120.06
19hpf,0,0,0,13.07,0,0,0,0,381.57
24hpf,1.12,0,0,0,0,0,0,0,31.65
2dpf,33.79,5.1,2.26,2.28,2.73,5.25,0,2.41,419.96
3dpf,24.88,16.08,0.29,0.63,0,4.9,0,0.54,170.97
5dpf,28.8,14.47,4.33,10.39,2.17,26.93,2.83,3.42,688.97
10dpf,29.34,31.53,1.62,6.09,0,7.02,0,2.63,231.3
