stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,49.68,0,0,0,22.75,0,0,9.24,0,102.89
12hpf,285.53,0,0,45.51,15.49,4.11,0,6.52,24.86,190.62
14hpf,38.12,0,0,40.11,4.15,6.6,0,2.72,3.7,75.79
16hpf,73.77,4.71,8.02,41.06,16.93,6.36,8.08,7.39,16.61,70.75
19hpf,73.44,0,3.97,39.14,11.74,8.84,2,0,0,1.72
24hpf,134.67,0,88.65,252.49,61.8,21.39,17.56,3.11,6.47,97.43
2dpf,296.07,0,1.64,502.52,63.64,70.73,11.28,7.7,32.22,37.02
3dpf,856.64,6.79,5.81,498.04,10.5,170.92,7.05,0.53,15.31,13.67
5dpf,200.72,16.05,8.23,1319.09,27.88,312.34,24.19,10.42,53.11,44.2
10dpf,1034.82,25.15,10.33,988.36,14.51,277.07,33.54,1.18,29.55,30.17
