stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,119.65,14.78,18.97,0,46.37,0,0,25.63,234.65,258.19
12hpf,55.06,4.47,0,6.99,19.83,8.19,0,6.98,61.84,75.05
14hpf,77.41,0,5.24,9.89,20.17,5.03,0,5.22,45.06,120.39
16hpf,119.79,4.15,0,7.3,8.63,21.14,4.87,7.74,53.86,111.1
19hpf,633.03,1.56,1.64,4.81,21.93,5.45,0,6.36,18.22,160.92
24hpf,280.32,0,2.24,7,54.24,16.4,1.25,2.28,74.95,121.21
2dpf,754.57,6.47,21.78,72.61,320.25,583.69,51.24,9.44,171.75,369.79
3dpf,1221.33,6.3,19.61,18.79,64.34,510.18,18.68,0,41.3,105.34
5dpf,555.06,11.24,84.17,65.05,81.76,932.24,45.03,50.99,152.95,618.89
10dpf,1767.03,13.98,42.22,14.1,13.14,270.91,17.96,0.84,47.56,58.26
