stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,8.67,0,0,0,23,0,0,0,17.31,0
12hpf,48.46,14.87,2.48,2.14,48.01,2.58,0,0,27.93,40.07
14hpf,33.83,0,2.48,12.56,14.71,0,0,0,2.72,79.21
16hpf,95.98,3.94,0,13.66,74.77,1.78,2.14,6.18,35.82,56.21
19hpf,218.42,3.37,0,7.32,41.63,1.68,4.96,2.07,8.82,175.3
24hpf,199.33,1.16,4.71,30.73,151.05,5.99,8.12,0,9.25,50.8
2dpf,428.68,7.54,15.13,85.09,496.03,104.86,42.83,5.69,52.36,185.03
3dpf,290.47,8.78,1.49,8.37,20.85,28.53,1.17,0,3.03,14.12
5dpf,77.01,3.13,31.71,15.19,105.24,98.23,6.2,1.86,34.83,74.36
10dpf,50.12,2.15,4.8,1.59,1.23,2.89,0.56,0,0.69,2.33
