stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,18.31,0,0,0,0,0,0,0,0,18.41
12hpf,44.85,4.07,0,8.76,12.98,2.29,0,2,20.28,53.58
14hpf,15.21,0,0,2.7,4.84,2.52,0,0,3.08,22.44
16hpf,50.85,5.35,1.79,13.83,35.67,5.8,1.73,0,28.25,52.42
19hpf,35.55,0,0,1.6,4.76,1.81,1.62,0,5.41,26.13
24hpf,44.75,4.99,4.91,4.41,24.44,16.48,4.79,0,27.84,24.42
2dpf,257.98,9.63,33.41,39.39,132.25,233.27,44.35,3.86,80.43,172.83
3dpf,630.79,17.47,11.7,34.25,22.11,239.02,7.64,0,18.19,45.58
5dpf,99.04,20.16,46.38,105.71,30.23,362.88,25.14,13.35,61.91,215.05
10dpf,406.85,43.49,61.29,80.67,21.94,256.32,22.59,0,29.79,46.99
