stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,154.26,0,0,0,18.55,0,0,0,69.97,20.63
12hpf,8.38,1.76,0,0,10.4,0,0,2.07,24.53,4.37
14hpf,34.4,0,0,13.23,17.9,0,0,2.79,29.63,19.14
16hpf,63.27,3.5,0,12.24,43.87,0,1.69,7.4,27.29,12.83
19hpf,423.35,3.15,0,3.63,32.76,12.66,0,5.61,5.13,14.69
24hpf,211.83,3.07,0.86,3.98,66.17,20.36,4.48,0.9,17.14,11.69
2dpf,638.39,10.11,16.44,80.18,489.16,842.85,50.23,11.4,269.34,164.84
3dpf,609,23.74,5.84,56.1,132.96,2012.4,16.35,0,87.55,90.72
5dpf,321.24,43.53,28.2,169.74,120.19,1876.88,53.93,15.92,222.48,365.37
10dpf,564.48,86.57,19.57,133.2,103.28,1644.13,30.51,1.93,145.62,118.04
