stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,12.04,0,0,0,16.02,0
12hpf,0,0,0,2.41,2.42,0,0,0,0,0
14hpf,51.25,0,0,4.92,7.05,0,0,0,0,2.25
16hpf,30.56,0,0,1.65,2.72,0,0,0,0,0
19hpf,44.86,0,0,0,0,0,0,1.65,0,0
24hpf,100.25,1.82,1.55,5.57,10.68,0,0,0,6.14,6.36
2dpf,916.03,6.58,19.11,131.31,224.58,442.28,40.04,6.82,60.05,110.91
3dpf,6993.21,18.14,10,74.45,160.87,1624.63,30.19,1.34,60.38,47.68
5dpf,666.06,31.48,20.82,228.51,144.75,1485.29,78.74,94.62,71.49,197.07
10dpf,1703.02,16.5,15.36,130.96,123.25,1112.86,21.76,0.42,63.14,22.4
