stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,8.87,0,0,0,0,0,0,0,0
12hpf,1.78,0,2,0,2.01,0,0,0,0,5.41
14hpf,10.81,0,0,0,0,2.23,0,0,0,2.95
16hpf,12.84,1.67,0,1.66,9.01,1.73,0,0,9.45,8.72
19hpf,17.65,0,0,0,0,1.62,0,0,0,1.62
24hpf,27.81,2.06,5.82,7.52,6.06,1.72,5.52,0.82,6.93,2.77
2dpf,334.44,4.12,46.28,52.91,117.35,208.51,49.41,2.81,48.19,134.91
3dpf,900.31,22.46,18.98,24.36,14.86,257.27,11.59,0,18.14,50.05
5dpf,175.93,37.65,89.2,102.69,27.72,449.42,45.55,11.51,49.14,371.99
10dpf,1037.25,147.54,79,98.4,25.73,372.56,28.1,1.15,57.25,114.06
