stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,6415.16,0,0,0,123.89,8.84,0,0,23.76,979.4
12hpf,3097.33,0,0,2.57,275.26,92.27,0,3.12,23.3,277.05
14hpf,1179.39,0,0,4.15,39.69,23.98,0,6.46,2.3,119.3
16hpf,481.93,0,0,0,23.16,14.06,0,0,7.78,178.34
19hpf,1005.66,0,1.95,0,13.1,1.63,68.09,0,1.78,342.9
24hpf,489.15,0,1.08,1.1,8.51,0.94,108.54,0,18.04,67.23
2dpf,1143.49,2.94,41.97,25.66,68.62,159.57,123.87,1.3,44.14,90.8
3dpf,5528.42,8.48,5.82,8.76,2.53,53.69,0.91,0,2.24,30.15
5dpf,127.01,3.61,12.58,14.38,11.82,117.89,27.86,2.31,24.34,48.8
10dpf,1245.92,9.27,9.86,3.09,0.75,34.79,27.15,0,0.42,18.75
