stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,21.98,0,0,0,0,0,0,0,0,76.27
12hpf,5.65,5.5,0,0,2.07,2.06,0,0,4.9,50.47
14hpf,2.61,0,2.59,0,0,0,0,0,0,252.08
16hpf,0,15.21,0,4.18,1.88,1.98,0,0,1.79,75.29
19hpf,0,0,0,0,5.7,6.2,0,0,0,218.51
24hpf,0.94,2.7,0,2.79,14.39,7.79,0,0,3.89,69.47
2dpf,50.59,2.57,4.82,29.65,66.28,255.57,27.37,7,47.36,407.4
3dpf,35.28,30.53,1.3,10.61,37.42,801.44,0.71,0,17.05,183.39
5dpf,49.12,35.48,4.37,25.3,38.41,647.49,11.58,11.62,70.66,599.99
10dpf,32.15,48.6,2.76,20.57,41.07,627.22,3.91,0.99,54.89,217.79
