stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,14214.64,230.69,60.28,0,2429.58,171.67,0,447.38,5348.95,4705.44
12hpf,20585.44,611.88,174.93,597.4,4752.28,916.48,48.84,994.6,8896.5,6136.49
14hpf,13837.94,181.23,638.5,782.1,2731.71,1230.49,243.88,285.65,5084,4199.58
16hpf,16246.06,568.36,1277.89,1047.43,4952.72,1995.06,527.09,613.57,6835.54,6760.67
19hpf,17821.94,119.34,385.16,501.36,2114.32,914.92,504.46,124.2,1747.17,3981.11
24hpf,14166.86,187.58,1829.31,643.93,3018.3,1262.05,624.2,62.33,3778.74,2281.99
2dpf,4349.17,160.21,358.53,373.65,1677.02,2570.62,448.96,19.7,928.41,1091.44
3dpf,6132.15,189.02,149.83,184.13,121.31,1504.1,92.83,0.53,188.78,407.12
5dpf,798.2,89.47,610.48,412.07,192.2,1821.14,182.58,57.64,530.54,1600.09
10dpf,1786.94,150.26,422.17,286.26,98.2,1291.87,79.87,3.75,344.23,355.63
