stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,945.12,41.37,123.78,0,335.42,29.72,0,32.59,428.59,410.22
12hpf,2025,116.99,139.55,78.44,569.03,117,2.02,107.58,1103.87,705.57
14hpf,451.97,25.56,179.38,48.87,113.61,59.68,7.76,9.75,209.75,213.82
16hpf,370.99,26.17,37.29,45.32,152.46,86.61,23.09,3.93,190.63,217.65
19hpf,370.6,3.77,0,29.69,42.91,27.29,3.91,6.42,44.56,84.98
24hpf,211.58,3.39,4.11,29.71,59.92,22.81,9.11,0,55.74,44.02
2dpf,495.29,12.01,19.65,63.71,211.92,336.93,38.35,2.01,122.11,151.36
3dpf,1660.63,19.01,13.49,34.94,40.45,435.45,20.38,0,33.05,101.44
5dpf,133.04,13.44,52.4,81.99,36.26,423,34.39,19.55,84.58,297.35
10dpf,577.86,28.08,52.98,75.64,29.33,341.71,32.45,0.4,56.98,87.02
