stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,4113.29,113.6,45.43,0,734.02,52.98,0,106.37,1944.37,1443.87
12hpf,7865.11,279.39,98.43,251.38,1945.98,373.52,16.27,395.08,3364.64,2598.26
14hpf,3476.07,66.77,257.56,311.37,748.98,335.62,63.18,64.04,1229.1,1126.45
16hpf,3671.26,156.87,302.6,334.54,1228.43,466.92,126.23,111.33,1390.95,1375.75
19hpf,3743.72,26.89,53.45,152.32,399.03,167.02,118.74,14.78,293.97,672.49
24hpf,3907.55,50.56,355.17,218.17,855.8,321.82,181.59,9.93,527.77,471.23
2dpf,1687.06,42.2,78.52,189.84,652.91,1134.16,123.81,8.32,341.06,369.01
3dpf,3209.57,25.87,55.4,58.9,61.81,786.35,34.95,0,73.78,126.27
5dpf,349.58,35.29,173.32,173.26,87.83,1028.86,82.36,38.07,176.07,592.55
10dpf,1192.3,59.92,209.46,127.15,47.97,964.9,41.86,0.97,118.07,150.59
