stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0
 14-21,1,1,2,0,0,0,0,0,0,0,15,0,0,0,1,1,1,6,0,0
 24-34,0.82,0,0,0,0,0,0,0,2.46,0,13.13,0,0,0,0,0,0,3.28,0,0
 36-46,0.81,0,0,0,0,0,0,0,1.61,0,7.25,0,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,1.15,0.57,3.44,0,0,0,0,0,0,1.15,0,0
 60-70,0.98,0,0.98,0.98,2.94,0,0,0,0,0,4.91,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,3.93,0,2.94,0.98,0.98,0,4.91,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,2.12,0,0,0,1.06,0,0,0,1.06,0,3.19,0,0,0,1.06,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,0,0,3.28,2.19,0,1.09,0,0,0,0,0,0,0,2.19
108-118,1.53,0,1.53,0,0,0,0,0.77,0.77,0,1.53,0,0.77,0,1.53,0,0,1.53,0,0
120,3.92,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
