stage,axial,blastomeres,endocrine_pancreas,eye,glial,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.51,2.63,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,3.15,0,3.15,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,6.31,0,0,0,0,0,1.72
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
