stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,1,35,0,0,0,0,0
 24-34,0,0,1.64,0,15.6,0,0.82,0,14.78,0,0,0.82,0,0,0.82,0,2.46,0,0,3.28,1332.25,0,0,0,0,0.82,0.82,0.82,2.46,233.94,0,0,0,0,0
 36-46,0,0,1.61,0,23.36,0.81,0,0.81,141.8,0,0.81,0.81,0.81,0,0,0,1.61,0,0.81,1.61,1709.63,0,0,0.81,0,1.61,0.81,0,0,317.43,0,0,1.61,0,0
 48-58,0,0,4.59,0,80.91,0,0,0.57,325.35,0,0,0,1.15,0,0,1.15,8.03,0,0,1.72,1250.32,0,0.57,0,0,1.72,0,0,0,436.67,0,0,0.57,0,1.72
 60-70,0,0.98,4.91,0.98,58.89,0,0,0,309.18,0,0.98,0,0,0,0,0,3.93,0,0.98,0,878.46,0,0.98,1.96,0,0.98,0,0,0,183.54,0,0.98,0.98,0,0
 72-82,0,0,2.94,0.98,54.97,0,0,1.96,346.53,0.98,1.96,0,0.98,0.98,0,0.98,9.82,0,0.98,2.94,435.86,0,0.98,0.98,0,0.98,0.98,0,0,29.45,0,0.98,0,0.98,1.96
 84-94,0,0,6.37,1.06,64.78,0,0,1.06,185.86,1.06,0,0,1.06,0,0,0,6.37,0,0,0,192.23,0,0,1.06,0,1.06,0,0,0,38.23,0,0,0,0,0
 96-106,0,0,17.49,1.09,34.97,1.09,0,0,198.9,1.09,1.09,0,0,0,0,1.09,7.65,0,0,0,169.39,0,2.19,0,0,1.09,0,0,0,9.84,0,0,0,0,0
108-118,0,0,4.6,0,19.15,0,0,0,187.66,0,0,0,0,0,0.77,0,5.36,0.77,0,0.77,204.51,0,0,0.77,0,0,0,0,0,3.83,0.77,0,0.77,0,0
120,0,0,9.8,0,56.83,0,0,0,246.93,0,1.96,0,0,0,0,0,5.88,0,0,0,293.97,0,0,1.96,0,3.92,0,0,0,13.72,0,0,0,1.96,0
