stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,55.2,5.26,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,34,0,0,0,0,0,1,0,3,1,4,9,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,5.75,0,0,1.64,0,0,0,0,0.82,1.64,0,0,0.82,55,0,0,0,0,0,1.64,0,0,0,0.82,8.21,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,20.14,0,0.81,4.83,0,0,0,0,0,5.64,0,0,3.22,85.4,1.61,2.42,0,0,0,0.81,0,0,0,0,25.78,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,22.38,1.15,0,2.87,0,0,0.57,0,0,5.16,0,0,0.57,55.66,0,0,0,0,0,0,0,0,0,0,13.2,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,41.22,0,1.96,10.8,0,0,0,0,0,9.82,0,0,0,69.69,0,0,0,0,0.98,2.94,0,0,0,0,11.78,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,17.67,0,0.98,0,0,0,0,0,0,9.82,0,0.98,0,48.1,0,2.94,0,0,0.98,0,0,0,0.98,0,8.83,0,0,0,0
 84-94,0,0,0,0,4.25,0,1.06,15.93,0,1.06,3.19,1.06,0,0,0,1.06,5.31,1.06,1.06,1.06,24.43,0,0,0,0,0,2.12,0,0,0,0,2.12,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,4.37,1.09,0,9.84,0,0,0,1.09,1.09,3.28,0,0,0,12.02,0,1.09,0,0,0,2.19,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,0.77,0,0,10.72,0,0.77,5.36,1.53,0,0,0,1.53,7.66,0,0,0.77,12.26,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0.77,1.53,0
120,0,0,1.96,0,0,0,0,7.84,0,0,1.96,0,0,0,0,3.92,5.88,0,0,1.96,13.72,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0
