stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,4.83,0,0,0,0
 48-58,0,0.57,0,0.57,0,0,0,0,0,0,0,0.57,0,0.57,4.02,0,0,0.57,0
 60-70,0,0,0,0.98,0,0.98,0,0,0.98,0,0.98,0,0,0.98,26.5,0,0,0,0
 72-82,0,5.89,0.98,0,0,0,0,0,0,0.98,4.91,1.96,0,0.98,46.14,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,2.12,2.12,0,2.12,107.27,0,1.06,0,0
 96-106,0,20.76,0,2.19,1.09,0,2.19,1.09,0,1.09,15.3,8.74,0,4.37,147.53,1.09,0,0,0
108-118,0,16.85,0,0,0.77,0.77,0,0,3.06,0.77,5.36,3.83,0,4.6,93.45,0,0,0,0
120,0,11.76,0,0,3.92,0,3.92,0,3.92,3.92,3.92,3.92,0,3.92,84.27,0,0,0,0
