stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,12.59,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,32,4,0,4,0,2,0,8,3,0,1,0,3,0,0,0,1,19,0,0,20,182,51,4,2,9,0,1,0,15,2,2,72,131,0,0,0,0,0
 24-34,0,0,3.28,0.82,20.52,3.28,0,27.91,0.82,3.28,2.46,5.75,0,0,0.82,0,2.46,0,1.64,0.82,3.28,31.19,1.64,0,28.73,687.06,13.13,10.67,11.49,0,0,5.75,0,0,0,0.82,20.52,197.83,0,0,4.93,0,1.64
 36-46,0,0,0.81,0,11.28,1.61,0,78.15,0,1.61,4.03,12.09,0,0.81,0,0,0.81,0,0.81,0,0.81,41.09,1.61,0.81,14.5,975.67,6.45,18.53,11.28,0,0,9.67,0,0,0.81,0.81,0.81,232.03,0,0,3.22,0,3.22
 48-58,0,0,0,0,9.75,1.15,0,171.57,1.15,2.87,2.3,35,0.57,0,1.72,0,0,1.15,1.15,0.57,1.15,67.71,2.87,1.72,17.21,1032.85,5.16,6.89,8.61,0,0,5.74,0,0,0,0,0,258.79,0,0.57,6.31,0,6.31
 60-70,0,0,0,0,9.82,1.96,0,196.3,0,3.93,0.98,34.35,0,0,0.98,0.98,0,2.94,3.93,0.98,1.96,75.58,0.98,0.98,6.87,804.85,2.94,3.93,14.72,0.98,0,1.96,0,0,0,0,0,146.25,0.98,0,1.96,0,1.96
 72-82,0,0,2.94,0,17.67,15.71,0,178.66,1.96,2.94,3.93,42.21,2.94,0,0.98,2.94,1.96,3.93,7.85,0.98,0,91.29,1.96,3.93,10.8,618.45,1.96,10.8,37.3,0,0,5.89,0.98,0,0,0,0,69.7,2.94,0.98,3.93,3.93,0.98
 84-94,0,0,1.06,0,16.99,7.43,0,129.57,0,7.43,4.25,32.92,4.25,0,1.06,3.19,2.12,1.06,8.5,1.06,0,65.85,4.25,3.19,11.68,272.94,4.25,3.19,39.3,0,0,12.74,0,0,0,1.06,0,37.17,5.31,2.12,2.12,1.06,2.12
 96-106,0,0,2.19,0,15.3,19.67,0,76.5,0,4.37,0,26.23,5.46,0,2.19,7.65,1.09,4.37,18.58,1.09,3.28,60.11,0,0,8.74,189.06,3.28,3.28,59.01,0,1.09,5.46,0,0,1.09,0,0,15.3,5.46,1.09,6.56,2.19,1.09
108-118,0,0,0.77,0,13.02,4.6,3.06,66.64,0.77,5.36,3.06,20.68,6.89,0,0.77,1.53,2.3,1.53,9.96,2.3,1.53,32.94,0.77,2.3,12.26,204.51,0,2.3,37.53,0,0,6.89,0,0,0.77,0.77,0,5.36,6.89,1.53,3.83,0,1.53
120,0,0,3.92,0,9.8,5.88,1.96,82.31,1.96,1.96,0,27.44,1.96,0,0,5.88,1.96,5.88,7.84,0,0,19.6,0,5.88,11.76,174.42,3.92,7.84,50.95,0,1.96,3.92,0,0,0,0,0,7.84,7.84,0,7.84,3.92,0
