stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,iridophores,lateral_line,liver,melanocytes,mucous,neural,olfactory,otic,periderm,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,3.28,1.64
 36-46,0,0,0,0,0.81,0,0.81,0,0,0.81,0,0.81,0,0,2.42,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,1.72,0.57
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0,4.25,0
 96-106,0,2.19,0,1.09,0,0,1.09,2.19,1.09,0,0,3.28,0,0,5.46,0
108-118,0,0.77,0,0,0,0,1.53,0,0,0,0.77,0.77,0.77,0.77,1.53,1.53
120,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,0,5.88,0
