stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,72,1,2,0,0,1,0,7,38,0,0,0,0,0
 24-34,0,0,0,0.82,0,11.49,0,0,0,4.93,0,0,0,0,0,0,0,5.75,0,0,4.93,300.43,2.46,2.46,0,0,0,0,0,69.77,0,0,3.28,0,0.82
 36-46,0,0.81,0,0,0,56.4,0,0,0.81,5.64,0,1.61,0,0,0,0,0,13.7,0,0,5.64,470.51,4.83,0,0,0,0,0,0,86.21,0,0.81,1.61,0,0
 48-58,0,0,0.57,0,0,183.04,0.57,1.15,1.15,19.51,0,1.15,0,1.15,0,0,0,22.38,0,0.57,2.87,490.03,2.87,0.57,0,0,0,0,0,87.22,0,0.57,1.15,0,1.72
 60-70,0,0,0.98,0,0,385.74,0,0,0.98,32.39,0,0,0,0.98,0,0,0,30.43,0,0,3.93,575.17,0.98,1.96,0,0,0,0,0,62.82,0,0.98,1.96,0,0.98
 72-82,0,0.98,0,0,0,353.4,0,0,3.93,44.17,1.96,0,0,0,0,0,0,54.97,0,2.94,7.85,575.25,1.96,1.96,0,0,0,0,0,53.01,0.98,1.96,0.98,1.96,2.94
 84-94,0,0,5.31,1.06,0,212.41,0,0,0,31.86,0,1.06,0,0,0,0,2.12,31.86,0,2.12,2.12,231.52,2.12,1.06,0,1.06,0,0,0,30.8,0,1.06,5.31,2.12,2.12
 96-106,0,0,1.09,3.28,0,145.35,2.19,0,1.09,33.88,0,1.09,1.09,5.46,1.09,0,0,32.79,0,2.19,4.37,185.78,4.37,3.28,1.09,0,0,0,0,6.56,0,0,1.09,2.19,0
108-118,0,0,1.53,0,0,88.85,0.77,0,2.3,17.62,0,0,0,1.53,0,0.77,0,16.09,0.77,0,3.06,184.6,1.53,1.53,1.53,0,0,0.77,0,12.26,0.77,0,2.3,0,2.3
120,0,0,0,0,1.96,62.71,0,0,0,17.64,0,0,1.96,0,0,1.96,0,15.68,0,3.92,3.92,156.78,1.96,1.96,1.96,0,0,0,0,7.84,0,5.88,3.92,1.96,1.96
