stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,4,14,0,3,0,0,0,1,1,99,227,22,0,0,0,0,1
 24-34,0,0,0.82,0,0,5.75,3.28,0,0,6.57,0.82,0.82,0,0.82,0,0,0,0.82,4.93,0,0,10.67,223.27,3.28,24.63,0,0,2.46,0,1.64,26.27,87.83,87.01,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,9.67,4.83,0.81,0.81,6.45,0,0,0,0,0,0,0,0.81,4.03,0,0,4.03,543.83,4.03,27.39,0,0,0,0,0.81,12.89,4.03,132.94,0,0,2.42,0,0
 48-58,0,0,0,0,0,44.76,8.61,0,0,14.35,0.57,0,0,0,0,0,0.57,0,6.31,0,0.57,8.03,551.43,0.57,20.08,0.57,0.57,0,0,0,8.03,0,134.27,0,0,0,0,0.57
 60-70,0,0,1.96,0.98,0,85.39,12.76,0.98,0,6.87,0.98,0.98,0,0,0,0,0,0,2.94,0,0.98,15.7,931.46,0.98,17.67,0.98,0,0,0,0.98,3.93,0,114.84,0,0,0.98,0,0
 72-82,0,0,5.89,1.96,0,101.11,14.72,0,0.98,25.52,0.98,0.98,0,0,0,0,0,0,12.76,0,0.98,8.83,606.67,0.98,30.43,0,0,0,0,0,2.94,0,59.88,0,0.98,0.98,1.96,0
 84-94,0,0,4.25,1.06,1.06,72.22,14.87,2.12,0,24.43,0,0,2.12,0,0,0,0,0,10.62,1.06,0,13.81,323.92,0,21.24,1.06,0,1.06,0,0,1.06,0,27.61,0,2.12,0,1.06,1.06
 96-106,0,0,0,3.28,1.09,76.5,20.76,0,0,18.58,1.09,1.09,0,0,0,1.09,0,0,9.84,0,0,7.65,283.05,0,27.32,0,1.09,3.28,0,0,3.28,0,16.39,1.09,1.09,0,0,1.09
108-118,0,0,1.53,0,0,54.38,13.79,0,0,22.98,0,0,0.77,0,0.77,0,0.77,0,8.43,0,0,13.79,268.85,0,18.38,1.53,0,0,0,0,6.13,0,12.26,0,0,0.77,0.77,0
120,0,0,5.88,1.96,1.96,48.99,9.8,3.92,0,23.52,0,0,0,0,0,0,0,0,11.76,0,0,17.64,282.21,0,17.64,1.96,0,1.96,0,0,1.96,0,13.72,1.96,0,0,0,0
