stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,553.47,10436.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,484.24,4940.49,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,177.76,12.26,0,0,36.78,0,67.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,107.78,65.72,0,362.76,0,2.63,0,336.48,0,0,0,0,0,155.09,0,0,0,0,0,0,0,0,0,0,0,2773.29,89.38,0,0,1062,0,21.03,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,88.12,0,107,0,12.59,0,270.64,0,0,0,0,0,81.82,0,0,0,0,0,3.15,0,0,0,0,0,2054.97,151.05,0,0,679.75,0,6.29,12.59,3.15,53.5,0,6.29,0,0,0,0,0,0
 14-21,0,2,1,18,375,85,0,143,0,2,0,26,9,9,6,3,21,0,2,4,4,118,2,0,96,1261,121,10,18,24,0,143,1,136,26,6,240,387,0,0,15,0,3
 24-34,0,0,4.93,10.67,135.44,16.42,0,241.33,0,14.78,5.75,37.76,6.57,1.64,8.21,17.24,44.33,3.28,11.49,4.1,10.67,181.41,12.31,0.82,88.65,1996.32,28.73,39.4,22.98,0,0,577.88,0,0.82,25.45,8.21,66.49,521.24,0,0,45.15,0,16.42
 36-46,0.81,0,0.81,0.81,73.32,2.42,0,410.09,4.03,8.06,15.31,66.06,4.03,0.81,4.83,21.75,19.34,5.64,6.45,3.22,14.5,182.89,6.45,2.42,56.4,2043.18,21.75,33.84,15.31,0,0,458.43,0,0,11.28,4.83,1.61,497.1,0,0,30.62,0,10.47
 48-58,0,0,0.57,0.57,48.2,3.44,0,677.66,10.33,14.35,13.2,141.16,6.31,1.15,4.59,21.8,7.46,7.46,9.18,6.31,8.61,287.48,8.03,12.62,44.18,1651.98,9.18,21.8,18.36,1.15,0,399.37,0,0,6.89,7.46,0,372.97,0,2.87,24.1,0,15.49
 60-70,0,0,0,0,66.74,4.91,0,905.94,1.96,15.7,9.82,159.01,17.67,0.98,5.89,22.58,12.76,8.83,11.78,7.85,1.96,315.07,8.83,7.85,27.48,1661.72,9.82,18.65,23.56,0,0.98,338.63,0,0,9.82,7.85,0,224.77,3.93,7.85,22.58,3.93,10.8
 72-82,0,0,14.72,0,99.15,22.58,0.98,780.42,5.89,21.6,17.67,192.41,72.64,0.98,7.85,47.12,24.54,6.87,13.74,9.82,2.94,409.35,12.76,19.63,38.28,1338.01,4.91,49.08,33.38,0,6.87,331.8,0,0,19.63,0.98,0,124.67,10.8,8.83,53.01,11.78,10.8
 84-94,0,0,3.19,1.06,131.69,16.99,6.37,567.13,7.43,32.92,19.12,135.94,92.4,2.12,5.31,55.23,33.99,12.74,11.68,21.24,7.43,285.69,12.74,10.62,40.36,691.39,9.56,35.05,43.54,0,2.12,746.61,0,0,29.74,2.12,0,49.92,28.68,8.5,42.48,16.99,7.43
 96-106,0,0,4.37,2.19,145.35,16.39,9.84,412,4.37,24.04,7.65,110.38,116.93,0,5.46,71.04,56.83,12.02,25.14,13.11,4.37,222.94,20.76,13.11,26.23,569.37,3.28,42.62,44.81,0,4.37,605.44,0,0,20.76,2.19,0,36.06,27.32,9.84,48.09,12.02,21.86
108-118,0,0,5.36,1.53,154.72,16.09,14.55,337.02,6.13,33.7,9.19,113.36,92.68,0,2.3,66.64,42.89,15.32,14.55,21.45,7.66,177.7,13.79,6.89,31.4,639.58,7.66,36.77,43.66,0,3.83,484.85,0,0,29.87,6.13,0,16.85,46.72,1.53,35.23,6.13,9.96
120,0,0,7.84,0,203.82,33.32,9.8,266.53,13.72,35.28,5.88,125.43,96.03,0,1.96,97.99,35.28,13.72,19.6,15.68,0,186.18,11.76,7.84,37.24,778.03,23.52,29.4,41.16,0,1.96,405.68,3.92,0,27.44,3.92,0,35.28,17.64,5.88,50.95,15.68,3.92
