stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,2806.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,1875.67,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,18.4,0,23.66,0,0,0,65.72,0,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,494.2,39.43,0,0,220.81,0,5.26,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,15.73,0,22.03,0,0,0,53.5,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,506.66,50.35,0,0,204.55,0,0,3.15,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,55,37,0,54,0,1,0,4,1,12,4,2,4,0,0,2,15,27,0,0,19,404,16,1,3,8,0,8,3,49,4,3,47,126,0,0,11,0,8
 24-34,0,0,0.82,0,29.55,4.93,0,113.28,0,4.93,1.64,11.49,3.28,0,2.46,7.39,13.95,3.28,0.82,1.64,27.09,46.79,2.46,0,28.73,588.55,7.39,7.39,7.39,0,0.82,16.42,0,0,6.57,1.64,12.31,165.81,0,0,26.27,0,27.09
 36-46,0,0,0.81,0,10.47,1.61,0,137.77,0,3.22,1.61,12.09,1.61,0,1.61,15.31,4.83,0.81,0.81,0,18.53,64.45,0,4.03,17.72,604.25,4.03,12.09,5.64,0,0,16.92,0.81,0,1.61,0.81,0,174.83,0,0,19.34,0,14.5
 48-58,0,0,1.15,0.57,16.64,1.15,0,263.38,2.3,3.44,4.59,46.48,1.72,10.33,4.02,14.92,2.87,2.87,2.3,2.87,17.21,124.52,0.57,4.59,18.36,599.63,3.44,4.02,5.74,0,1.15,12.62,0,0,0,0.57,0,152.63,0,1.15,21.23,0,16.07
 60-70,0,0,1.96,0,19.63,3.93,0,368.07,0,7.85,7.85,59.87,5.89,3.93,0.98,34.35,0,6.87,0.98,2.94,10.8,142.32,2.94,8.83,19.63,600.69,0.98,5.89,2.94,0,0,19.63,0,0,1.96,0.98,0,66.74,0,1.96,30.43,1.96,15.7
 72-82,0,0,6.87,0,28.47,4.91,0,349.47,1.96,1.96,4.91,86.39,5.89,1.96,2.94,37.3,4.91,8.83,5.89,3.93,13.74,226.76,5.89,8.83,16.69,604.7,0,11.78,6.87,0,0.98,22.58,0,0,1.96,0,0,45.16,0.98,4.91,43.19,4.91,17.67
 84-94,0,0,2.12,0,33.99,4.25,2.12,207.1,1.06,9.56,7.43,41.42,16.99,5.31,2.12,70.09,11.68,13.81,2.12,8.5,16.99,123.2,3.19,7.43,13.81,261.26,4.25,3.19,7.43,0,1.06,93.46,0,0,4.25,0,0,23.36,2.12,3.19,42.48,5.31,6.37
 96-106,0,0,3.28,0,31.69,3.28,1.09,144.26,1.09,7.65,3.28,57.92,18.58,1.09,5.46,69.94,6.56,8.74,7.65,6.56,17.49,110.38,5.46,5.46,16.39,230.59,4.37,9.84,10.93,0,1.09,111.47,0,0,5.46,0,0,9.84,6.56,5.46,46.99,7.65,14.21
108-118,0,0,3.06,0,47.49,5.36,11.49,136.34,1.53,8.43,3.83,42.89,16.09,0,3.83,52.85,10.72,16.09,4.6,9.96,10.72,76.6,6.13,7.66,13.79,251.24,2.3,7.66,7.66,0,3.83,68.94,0.77,0,3.83,0.77,0,7.66,6.13,0.77,29.11,5.36,11.49
120,1.96,0,0,0,41.16,15.68,1.96,121.51,1.96,11.76,13.72,43.12,31.36,0,9.8,62.71,11.76,13.72,1.96,7.84,7.84,72.51,7.84,0,1.96,229.29,0,3.92,3.92,0,3.92,111.71,0,0,5.88,0,0,11.76,1.96,3.92,25.48,1.96,1.96
