stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,856.57,16973.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,1612.09,17353,0,12.26,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,373.91,49.04,0,0,159.37,0,429.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,247.1,212.93,0,428.48,0,2.63,0,770.21,0,0,0,0,0,318.07,0,0,0,0,0,0,0,0,0,0,0,6803.11,294.42,0,0,2954.67,0,36.8,28.92,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,236.02,0,302.11,0,40.91,0,711.22,0,0,0,0,0,125.88,0,0,0,0,0,0,0,0,0,0,3.15,5305.79,198.26,0,0,2155.67,0,9.44,22.03,9.44,185.67,0,18.88,9.44,0,0,0,0,0
 14-21,1,2,8,56,1086,277,0,458,0,3,0,92,43,12,13,6,34,0,6,7,19,378,8,0,371,4300,142,27,92,121,0,139,8,776,79,104,1078,1499,0,0,47,0,8
 24-34,0,0.82,5.75,44.33,510.57,59.1,0,878.32,0.82,36.94,10.67,136.26,15.6,0.82,16.42,16.42,41.86,9.85,42.68,13.13,64.03,938.24,14.78,0.82,413.71,7049.51,52.53,82.09,94.4,0.82,0.82,355.43,0,4.93,40.22,39.4,232.3,1767.3,0,0,199.47,0,34.48
 36-46,0,0,3.22,4.83,223.17,10.47,0,1488.88,12.09,16.92,31.42,275.54,11.28,1.61,20.14,20.14,12.89,12.09,26.59,12.09,31.42,825.81,4.03,16.92,293.26,8218.63,43.51,70.9,58.01,0,1.61,263.45,1.61,0.81,14.5,14.5,7.25,1912.66,0,2.42,132.94,0.81,18.53
 48-58,0,0,4.02,4.02,176.16,9.18,0,2263.66,8.03,30.41,42.46,484.29,18.36,6.31,25.25,30.99,14.92,18.94,26.97,12.62,21.8,1020.23,13.2,26.97,204.27,6800.16,21.8,46.48,53.36,0,5.74,277.15,1.15,0,14.92,15.49,0.57,1466.07,0,2.3,98.69,1.72,32.71
 60-70,0,0,2.94,0,189.43,12.76,0,2640.29,19.63,53.98,39.26,447.57,30.43,5.89,14.72,49.08,16.69,25.52,24.54,11.78,10.8,1035.51,8.83,39.26,145.27,5453.34,9.82,42.21,36.32,0.98,5.89,256.18,0.98,0,14.72,9.82,0,804.85,1.96,21.59,88.34,4.91,21.59
 72-82,0,0,18.65,0,243.45,69.7,2.94,1900.5,15.71,29.45,59.88,491.81,66.75,2.94,20.61,70.68,38.28,29.45,31.41,18.65,13.74,1244.75,19.63,42.21,148.23,3788.23,12.76,47.12,68.72,0.98,8.83,355.36,0.98,0,18.65,5.89,0,321,21.6,31.41,148.23,26.5,20.61
 84-94,1.06,0,8.5,1.06,375.96,67.97,9.56,1366.84,12.74,63.72,40.36,291,84.96,8.5,19.12,98.77,50.98,36.11,43.54,22.3,25.49,775.29,10.62,57.35,104.08,1954.15,16.99,52.04,83.9,1.06,2.12,774.23,1.06,0,41.42,4.25,0,223.03,42.48,28.68,128.51,19.12,19.12
 96-106,0,0,9.84,2.19,406.54,67.76,6.56,977,14.21,65.57,30.6,293.98,92.89,1.09,21.86,124.58,61.2,22.95,48.09,16.39,19.67,636.04,25.14,19.67,92.89,1536.54,13.11,69.94,84.15,0,15.3,721.28,2.19,0,21.86,4.37,0,101.63,57.92,16.39,130.05,29.51,27.32
108-118,0.77,0,3.06,1.53,408.26,56.68,23.74,715.41,19.92,100.34,25.28,257.36,101.11,0,10.72,123.32,56.68,39.06,40.6,32.17,19.92,543.83,24.51,24.51,91.15,1788.52,26.81,56.68,62.04,0,12.26,520.09,1.53,0,31.4,6.89,0,55.92,67.4,12.26,111.06,16.09,22.98
120,0,0,11.76,1.96,376.28,82.31,5.88,680.05,7.84,70.55,33.32,215.58,86.23,0,9.8,133.27,45.08,17.64,17.64,21.56,7.84,476.23,11.76,23.52,94.07,1822.6,23.52,54.87,58.79,0,5.88,380.2,0,0,19.6,5.88,0,74.47,33.32,17.64,117.59,3.92,7.84
