stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1593.71,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,44.69,0,68.35,0,0,0,168.24,0,0,0,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,1385.33,57.83,0,0,428.48,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,53.5,0,84.97,0,15.73,0,204.55,0,0,0,0,0,47.2,0,0,0,0,0,3.15,0,0,0,0,0,1441.31,66.09,0,0,534.98,0,3.15,6.29,9.44,50.35,0,6.29,0,0,0,0,0
 14-21,1,0,0,13,90,24,0,49,0,0,0,6,4,2,2,0,0,0,1,0,0,29,0,0,19,335,7,0,5,14,0,15,1,62,3,61,109,0,0,2,0,1
 24-34,0,0,0,3.28,53.36,6.57,0,72.24,0,3.28,1.64,12.31,3.28,0,0.82,3.28,2.46,0.82,1.64,4.1,6.57,82.91,0,0.82,27.09,393.19,4.93,0.82,6.57,0,0,65.67,0,0,2.46,19.7,68.13,0,0,19.7,0,4.93
 36-46,0,0,0,0,21.75,0.81,0,44.31,0.81,2.42,7.25,21.75,1.61,0,0,4.03,0.81,0.81,0.81,3.22,0,69.29,0,3.22,23.36,210.28,4.03,0,5.64,0,0.81,48.34,0,0,1.61,0,42.7,0,0,10.47,0,0.81
 48-58,0,0,0,0,21.23,1.15,0,44.18,0.57,4.02,7.46,36.72,3.44,0,1.72,5.16,0,0.57,2.87,1.15,2.87,112.47,4.59,1.15,25.25,115.33,4.02,2.3,6.89,0,0.57,30.99,0,0,1.15,0,26.97,0,1.72,9.18,0,6.89
 60-70,0,0,0.98,0.98,29.45,0.98,0,42.21,0,5.89,4.91,50.06,14.72,0,2.94,7.85,1.96,8.83,3.93,2.94,0.98,130.54,0,7.85,13.74,70.67,2.94,0.98,2.94,0,1.96,44.17,0,0,5.89,0,6.87,0,1.96,12.76,0,3.93
 72-82,0,0,0,0.98,26.5,5.89,0.98,35.34,0,8.83,10.8,54.97,11.78,0,2.94,13.74,1.96,0.98,10.8,1.96,0,189.46,0.98,7.85,15.71,77.55,0,3.93,6.87,0,0.98,44.17,0,0,2.94,0,8.83,1.96,4.91,23.56,1.96,2.94
 84-94,0,0,1.06,0,52.04,2.12,4.25,31.86,0,15.93,11.68,27.61,22.3,0,1.06,21.24,4.25,2.12,3.19,5.31,2.12,95.58,1.06,5.31,19.12,48.85,2.12,2.12,5.31,0,1.06,87.09,0,0,7.43,0,4.25,1.06,1.06,22.3,2.12,2.12
 96-106,0,0,1.09,0,42.62,2.19,2.19,29.51,0,6.56,3.28,31.69,13.11,0,2.19,25.14,3.28,5.46,2.19,2.19,2.19,84.15,2.19,3.28,7.65,26.23,1.09,3.28,3.28,0,3.28,85.24,0,0,2.19,0,3.28,1.09,4.37,7.65,0,4.37
108-118,0,0,1.53,0,62.81,3.06,16.85,25.28,0,10.72,6.89,24.51,15.32,0,2.3,18.38,6.13,6.13,0,6.89,3.83,76.6,2.3,2.3,19.15,46.72,4.6,1.53,3.83,0,0,69.7,0,0,3.06,0,2.3,5.36,1.53,11.49,3.83,3.83
120,0,0,0,1.96,207.74,17.64,3.92,45.08,1.96,35.28,5.88,64.67,35.28,0,1.96,45.08,1.96,0,9.8,11.76,0,162.66,3.92,5.88,39.2,137.18,19.6,5.88,9.8,0,1.96,123.47,0,0,5.88,0,3.92,3.92,0,33.32,7.84,5.88
