stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,12.26,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,49.95,18.4,7.89,0,0,23.66,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,244.47,86.75,0,0,552.03,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,28.32,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,289.52,66.09,0,0,302.11,0,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1,8,0,3,42,12,0,0,3,0,0,0,14,1,7,14,0,0,0,2
 24-34,0,0,0,2.46,0,11.49,0,0.82,2.46,0,0,2.46,0,0,0.82,0.82,3.28,9.03,0,2.46,100.14,8.21,0.82,2.46,0,0,0.82,0,0,1.64,1.64,18.88,0,2.46,0,2.46
 36-46,0,0,0,0.81,0.81,29.81,0,0.81,20.14,0,0,0,0,0,0,0.81,1.61,16.92,0,4.03,100.71,7.25,3.22,1.61,0,0,0,0,0,0,0,25.78,0,0.81,0,3.22
 48-58,0,0,0,0.57,0,83.78,0,1.15,47.63,0,0,1.15,0,0,1.15,0.57,1.72,27.54,0,0.57,49.92,2.3,2.3,0.57,0,0,0,0,0,0,0,21.23,0,1.72,0,3.44
 60-70,0,0,0,0,0,111.89,0,0.98,83.43,0,0,0,0.98,0,1.96,0.98,0.98,54.97,0,0.98,38.28,3.93,2.94,0.98,0,0.98,0,0,0,0,0,15.7,1.96,0.98,0,2.94
 72-82,0,0,0,0.98,0.98,67.73,0.98,1.96,139.4,1.96,0,0,0,0,0.98,1.96,0.98,53.01,1.96,1.96,39.27,0.98,1.96,0.98,0,0,0,0,0,0.98,0,8.83,0.98,1.96,2.94,4.91
 84-94,0,0,0,1.06,2.12,59.47,0,0,97.71,0,0,0,0,0,4.25,1.06,0,44.61,3.19,2.12,26.55,0,1.06,2.12,0,0,0,0,0,0,0,2.12,1.06,3.19,4.25,4.25
 96-106,0,0,0,4.37,1.09,44.81,1.09,1.09,96.17,3.28,0,0,3.28,0,6.56,0,0,40.44,1.09,1.09,24.04,1.09,1.09,2.19,0,0,0,0,0,0,0,3.28,2.19,2.19,1.09,2.19
108-118,0,0,0,1.53,1.53,32.17,0,0,87.32,0.77,0,0.77,0,0.77,13.02,0,3.83,28.34,0.77,3.06,22.21,1.53,0.77,0.77,0,0,0.77,0,0,0,0,2.3,2.3,3.06,1.53,1.53
120,0,0,0,3.92,0,17.64,0,1.96,94.07,0,0,0,1.96,0,7.84,0,0,31.36,0,1.96,23.52,0,1.96,1.96,0,0,0,0,0,1.96,0,3.92,1.96,0,0,3.92
