stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,619.36,10094.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.76,0,0,0,0,0,0,0,0,0,0,0
  5-6,919.45,11149.81,0,30.65,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0,361.65,42.91,0,0,98.07,0,263.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,257.61,302.3,0,496.83,0,2.63,0,1056.74,0,0,0,0,0,375.91,0,0,0,0,0,0,0,0,0,0,0,8672.12,349.62,0,0,3270.12,0,23.66,42.06,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,377.64,0,563.31,0,66.09,0,981.85,0,0,0,0,0,336.73,0,0,0,0,0,3.15,0,0,0,0,3.15,9972.75,459.46,0,0,4097.35,0,6.29,44.06,31.47,446.87,0,47.2,18.88,0,0,0,0,0
 14-21,2,5,11,144,3068,889,0,1456,0,20,0,167,74,164,20,36,139,5,11,28,55,895,25,0,741,10630,542,57,226,385,0,456,25,1870,212,440,3537,3523,0,0,76,0,57
 24-34,0,0.82,15.6,84.55,1482.47,636.16,0,2451.9,200.29,101.79,33.66,246.26,37.76,42.68,24.63,93.58,228.2,32.83,87.01,72.24,131.34,1539.11,85.37,5.75,728.92,11368.04,206.03,177.3,211.78,0.82,0.82,1218.15,2.46,16.42,142.01,254.47,892.27,2801.58,0,0,297.97,0,174.02
 36-46,0,0,11.28,15.31,754.11,163.55,0,3370.11,388.33,105.54,80.57,426.2,45.12,3.22,30.62,120.85,107.96,42.7,67.68,59.62,93.46,1558.16,55.59,24.98,518.05,10472.09,161.94,147.44,119.24,0,2.42,1194.81,4.83,7.25,97.49,211.09,32.23,2517.72,0,0.81,219.95,0.81,123.27
 48-58,1.72,0.57,9.75,10.9,713.81,67.14,0,4428.63,394.78,158.94,101.56,821.69,68.28,9.18,33.85,126.81,66.56,68.28,60.82,63.12,57.95,2092.67,53.94,76.89,491.18,8739.62,96.97,101.56,130.83,0,4.02,1055.23,1.15,2.3,59.1,176.73,0,1928.56,0,5.16,188.78,0.57,131.98
 60-70,2.94,0,13.74,1.96,733.2,68.71,2.94,5047.97,309.18,136.43,91.28,868.65,157.04,7.85,26.5,143.3,88.34,105.02,64.78,90.3,32.39,2163.27,44.17,97.17,342.55,7899.29,73.61,86.37,118.76,0.98,10.8,972.69,0.98,0.98,66.74,119.75,0,1045.32,12.76,44.17,182.56,28.46,96.19
 72-82,0,0,53.99,5.89,952.21,173.75,65.77,4703.14,241.49,161.97,150.19,1125.97,365.18,6.87,30.43,271.92,173.75,98.17,92.28,179.64,33.38,2688.77,76.57,107,426.04,6813.71,66.75,161.97,190.44,0.98,13.74,1131.86,0.98,0,101.11,68.72,0,520.28,52.03,82.46,294.5,80.5,80.5
 84-94,1.06,0,47.79,13.81,1642.97,208.16,141.25,3902.99,394.02,305.87,117.89,823.08,683.95,9.56,28.68,296.31,294.18,135.94,128.51,537.39,61.6,2055.04,87.09,116.82,374.9,4096.28,109.39,199.66,236.83,1.06,19.12,3251.96,1.06,0,230.46,125.32,0,355.78,187.98,81.78,310.11,88.15,57.35
 96-106,1.09,0,56.83,19.67,1864.4,338.78,273.21,3087.29,618.55,298.35,92.89,851.33,890.67,0,62.29,430.58,330.04,92.89,180.32,815.26,55.74,1611.95,123.49,63.39,349.71,3633.72,89.61,284.14,279.77,1.09,30.6,3414.05,6.56,0,217.48,131.14,0,153,205.46,76.5,362.83,109.28,68.85
108-118,3.06,0,39.83,29.11,1578.65,306.39,432.77,2496.27,474.13,356.17,81.19,681.71,942.13,0.77,29.11,342.39,320.17,101.87,134.04,1530.39,59.75,1243.92,101.11,43.66,374.56,4747.44,79.66,199.15,225.19,0,22.21,3141.21,2.3,0,204.51,114.13,0,123.32,209.11,44.43,275.75,53.62,58.21
120,3.92,0,25.48,5.88,1095.52,368.44,182.26,2046.02,256.73,256.73,66.63,638.89,619.29,0,31.36,435.07,194.02,66.63,80.35,797.63,19.6,1032.81,60.75,50.95,374.32,4707.41,101.91,125.43,207.74,0,19.6,1636.42,1.96,1.96,141.1,48.99,0,127.39,62.71,35.28,244.97,50.95,15.68
