stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1713.13,30533.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.15,0,0,0,0,0,0,0,0,0,0,0
  5-6,2562.19,31494.07,0,49.04,0,0,0,0,0,0,0,0,0,104.2,0,0,0,0,0,0,0,0,0,0,0,907.19,98.07,0,0,281.96,0,845.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,573.06,641.41,0,1019.94,0,5.26,0,2147.66,0,0,0,0,0,780.73,0,0,0,0,0,0,0,0,0,0,0,18535.06,715.01,0,0,6621.73,0,97.26,55.2,0,10.51,0,0,0,0,0,0,0,0
 10-12,6.29,623.1,0,912.62,0,91.26,0,1718.25,0,0,0,0,0,487.78,0,0,0,0,0,6.29,0,0,0,0,0,16162.83,607.37,0,0,5891.13,0,47.2,37.76,37.76,714.36,0,72.38,22.03,0,0,0,0,0
 14-21,0,2,6,92,1912,592,0,998,0,13,0,109,52,94,14,12,79,1,6,6,29,589,12,0,549,7047,326,38,152,223,0,246,3,1288,95,116,2362,2212,0,0,60,0,21
 24-34,0.82,0,8.21,42.68,772.43,199.47,0,1406.95,18.88,50.89,17.24,159.25,22.16,9.85,21.34,41.04,92.76,18.06,47.61,23.8,66.49,983.39,25.45,4.1,505.65,7678.29,93.58,133.8,123.13,0,0.82,519.6,0.82,6.57,50.89,34.48,495.8,1942.97,0,0,234.76,0,82.91
 36-46,0,0,4.03,8.06,295.68,37.06,0,1981.14,17.72,36.26,41.09,264.26,18.53,0.81,20.14,41.09,14.5,13.7,36.26,16.92,46.73,972.44,20.14,16.92,309.38,7231.69,57.2,101.51,51.56,0.81,4.03,373.83,0.81,2.42,20.14,17.72,12.89,1699.16,0,0.81,123.27,0,52.37
 48-58,1.15,0,4.02,6.89,304.12,45.33,0,2905.17,18.94,68.28,57.38,526.75,36.72,9.18,32.13,41.89,26.4,36.15,34.43,26.97,30.99,1246.3,22.38,33.28,285.75,6343.41,22.95,58.53,63.69,0,2.87,381.58,0,0.57,17.21,13.2,0.57,1325.49,0,5.74,126.81,1.72,68.28
 60-70,0.98,0,4.91,0,260.1,67.73,1.96,3135.96,27.48,62.82,50.06,588.91,67.73,6.87,25.52,48.09,25.52,46.13,22.58,28.46,19.63,1245.55,13.74,60.85,168.82,5399.35,23.56,48.09,33.37,0.98,6.87,325.87,0,0,19.63,9.82,0,690.99,4.91,26.5,105.02,15.7,39.26
 72-82,0,0,27.49,1.96,374.01,145.29,29.45,2787.92,24.54,44.17,90.31,761.77,183.57,5.89,28.47,90.31,58.9,54.97,35.34,37.3,17.67,1630.54,38.28,59.88,221.86,4322.26,20.61,99.15,81.48,0,4.91,400.52,0,0,40.25,1.96,0,357.32,33.38,51.05,188.48,54.97,34.36
 84-94,0,0,15.93,3.19,559.69,148.69,53.1,1945.65,16.99,92.4,57.35,474.73,255.95,9.56,16.99,104.08,103.02,71.16,46.73,60.54,26.55,1072.66,36.11,61.6,172.05,2446.93,27.61,89.21,75.4,0,12.74,962.21,1.06,0,74.34,3.19,0,210.28,71.16,44.61,168.86,48.85,40.36
 96-106,1.09,0,17.49,5.46,643.69,169.39,57.92,1395.57,26.23,90.71,42.62,489.6,286.33,0,37.16,142.07,110.38,51.36,50.27,51.36,26.23,979.19,40.44,40.44,165.02,1940.9,26.23,148.63,100.54,0,22.95,901.6,1.09,0,85.24,9.84,0,115.84,71.04,36.06,219.66,45.9,54.64
108-118,0.77,0,11.49,9.19,559.15,150.13,44.43,1016.43,19.15,130.21,45.19,390.64,199.92,0,16.85,116.43,98.81,65.11,35.23,49.02,23.74,781.28,33.7,37.53,173.11,2265.72,28.34,91.92,58.21,0,16.09,691.66,0,0,50.55,15.32,0,70.47,60.51,17.62,156.26,35.23,48.26
120,1.96,0,11.76,1.96,431.15,158.74,19.6,856.43,25.48,103.87,41.16,339.04,125.43,0,7.84,146.98,54.87,33.32,35.28,37.24,9.8,644.77,23.52,25.48,166.58,2020.54,35.28,62.71,68.59,0,7.84,431.15,0,1.96,33.32,7.84,0,74.47,23.52,11.76,145.02,25.48,17.64
