stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,5139.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.91,0,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,2200.54,0,12.26,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,73.56,12.26,0,0,36.78,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,15.77,0,34.17,0,0,0,31.54,0,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,375.91,36.8,0,0,162.98,0,10.51,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,50.35,0,6.29,0,44.06,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,664.01,78.67,0,0,251.76,0,3.15,3.15,3.15,31.47,0,0,0,0,0,0,0,0
 14-21,0,0,2,10,319,48,0,42,0,7,0,14,8,5,6,3,8,0,0,0,2,64,1,0,53,428,155,7,10,10,0,36,2,62,21,16,94,178,0,0,18,0,2
 24-34,0,0,3.28,4.1,132.16,6.57,0,78.8,0,26.27,12.31,22.16,0.82,0.82,4.1,4.93,16.42,0,5.75,3.28,4.93,119.84,7.39,0,78.8,778.17,29.55,23.8,15.6,0,0.82,155.14,0.82,0.82,9.03,1.64,27.09,227.38,0,0,48.43,0,7.39
 36-46,0,0,3.22,0,42.7,3.22,0,148.24,1.61,15.31,26.59,49.15,0.81,0,2.42,2.42,4.83,1.61,6.45,0,7.25,138.58,2.42,4.03,50.76,688.04,23.36,23.36,10.47,0,0,153.08,0.81,0.81,8.86,0.81,0,193.36,0,0,23.36,0,8.06
 48-58,0,0,0,0.57,28.12,1.15,0,214.03,1.15,16.64,21.8,81.48,1.72,2.87,2.87,3.44,3.44,2.3,2.87,0.57,6.31,251.33,7.46,5.74,47.05,511.83,10.9,10.33,8.03,0,1.15,138.86,0,0,2.3,0.57,0,146.89,0,1.15,18.94,0,10.33
 60-70,0,0,1.96,0,26.5,5.89,0,311.14,3.93,16.69,20.61,93.24,3.93,1.96,2.94,8.83,3.93,4.91,10.8,1.96,4.91,357.27,6.87,8.83,30.43,519.23,5.89,12.76,9.82,0,3.93,127.6,0.98,0,5.89,0,0,96.19,3.93,6.87,17.67,0.98,9.82
 72-82,0,0,7.85,0.98,38.28,18.65,0,289.59,1.96,7.85,30.43,133.51,12.76,0,4.91,13.74,13.74,4.91,18.65,0.98,2.94,493.78,11.78,9.82,25.52,491.81,7.85,19.63,22.58,0,1.96,112.89,0,0,0.98,0,0,48.1,7.85,11.78,32.39,15.71,8.83
 84-94,0,0,7.43,1.06,77.53,21.24,0,296.31,2.12,13.81,15.93,89.21,23.36,3.19,4.25,25.49,16.99,14.87,14.87,4.25,7.43,382.33,10.62,10.62,26.55,266.57,11.68,25.49,24.43,0,2.12,303.74,0,0,10.62,0,0,43.54,20.18,9.56,31.86,14.87,11.68
 96-106,0,0,9.84,0,90.71,8.74,2.19,221.85,1.09,19.67,15.3,91.8,32.79,1.09,7.65,37.16,19.67,8.74,25.14,4.37,3.28,255.73,9.84,9.84,15.3,238.24,6.56,40.44,42.62,0,1.09,203.27,1.09,0,3.28,0,0,18.58,27.32,9.84,38.25,16.39,7.65
108-118,0,0,2.3,1.53,75.83,13.79,6.89,164.68,2.3,21.45,4.6,75.83,32.94,0,3.06,36,16.85,11.49,19.92,3.83,6.13,183.83,8.43,4.6,26.04,264.26,9.19,26.81,36,0,6.13,163.92,0,0,3.83,2.3,0,17.62,26.04,5.36,22.21,5.36,14.55
120,0,0,3.92,0,66.63,7.84,0,105.83,1.96,17.64,5.88,56.83,25.48,0,1.96,35.28,19.6,11.76,19.6,0,0,111.71,9.8,9.8,9.8,248.89,9.8,15.68,27.44,0,0,139.14,0,0,1.96,0,0,9.8,7.84,0,13.72,5.88,3.92
