stage,epidermis,eye,glial,gut,immune,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,43.61,0,0,0,0,0.57,0,8.03,0,0,0,0,0,0,0
 60-70,0,260.1,0.98,0,0,0,0.98,0,12.76,0,0,0,0,0.98,0,0
 72-82,3.93,417.21,4.91,0.98,1.96,0,1.96,0,21.6,0,0,0,0,0,0,0
 84-94,3.19,204.97,7.43,0,0,1.06,4.25,0,16.99,0,1.06,1.06,0,5.31,1.06,1.06
 96-106,0,189.06,6.56,0,0,0,0,0,10.93,0,0,0,0,0,1.09,0
108-118,1.53,157.02,9.19,0,0,0.77,1.53,0.77,10.72,0,0,0,0,0,0,0
120,0,84.27,3.92,0,0,0,1.96,0,17.64,1.96,0,0,0,0,0,0
