stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,0,1,1,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,4.1,0,0,0,0,0,1.64,0,1.64,12.31,0,0,0,53.36,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0.81,0.81,0,0.81,0,0.81,0,0,0,0.81,11.28,0,0,0,37.06,0,0,3.22,0.81,0
 48-58,0,0,0,0,0,4.59,0,0,1.72,0,0,2.87,0,0,0,0,0,0,0.57,0.57,17.79,0,0.57,0,18.36,0,0,2.87,0,0
 60-70,0,0,0.98,0,0,17.67,0,0,0.98,0.98,0,4.91,0,0,0,0,0,0.98,0,0,44.17,0,0,0,29.45,0,0,0.98,0,0
 72-82,0,0.98,2.94,0,0,54.97,0,0,9.82,0,0,10.8,0,0,1.96,0,0,0.98,0,0,120.74,0.98,0.98,0,50.06,0,0,1.96,0,0
 84-94,0,0,10.62,1.06,0,43.54,1.06,2.12,4.25,1.06,0,9.56,2.12,0,3.19,0,0,1.06,0,0,66.91,0,2.12,0,128.51,0,0,0,0,0
 96-106,0,0,14.21,1.09,0,42.62,0,1.09,8.74,1.09,0,10.93,1.09,1.09,4.37,1.09,0,3.28,3.28,1.09,87.43,0,1.09,0,153,1.09,0,1.09,2.19,1.09
108-118,0,0,13.79,0.77,1.53,39.06,2.3,1.53,7.66,3.06,0,4.6,4.6,0,2.3,0.77,0,3.83,0,0.77,83.49,1.53,0.77,0,128.68,0,0,2.3,0.77,0
120,0,0,3.92,1.96,0,52.91,0,3.92,0,1.96,0,5.88,7.84,0,0,0,1.96,1.96,3.92,0,101.91,3.92,0,0,148.94,0,0,1.96,1.96,0
