stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.63,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,31.54,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,4.93,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,18.06,0,0.82,0,0,0,0,0,4.93,0,0,0.82,0
 36-46,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,58.01,0.81,0,0,0,0,0,0,11.28,0,0,0,0
 48-58,0,0,0.57,0,8.61,0,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,71.15,0,0,0,0,0,0,0,10.9,0,0,0,0.57
 60-70,0,0,2.94,0,41.22,0.98,0,0,1.96,0.98,0,0,0,0,0,0.98,0,0,0,142.32,0,0,0,0,0,0,0,15.7,0,0,0.98,0
 72-82,0,0,6.87,0.98,71.66,0,0,0.98,1.96,4.91,0,0,0,0,0,2.94,0,0,0,146.27,0,0.98,0,0,0,0,0,14.72,0.98,0,0.98,0
 84-94,0,0,6.37,0,38.23,1.06,0,0,5.31,9.56,0,0,0,0,0,2.12,0,0,0,83.9,0,1.06,0,0,0,0,1.06,10.62,2.12,1.06,0,0
 96-106,0,0,17.49,1.09,38.25,0,1.09,0,1.09,15.3,0,0,2.19,1.09,0,2.19,0,1.09,1.09,60.11,1.09,2.19,0,1.09,3.28,0,0,4.37,2.19,0,0,0
108-118,0,0.77,12.26,0,32.17,0,0.77,0,1.53,20.68,0,0,0,0,0,0.77,0,0,0,80.43,0,3.06,0,0,2.3,0,0,1.53,5.36,0,0.77,0
120,0,0,17.64,0,19.6,0,0,0,3.92,13.72,0,0,1.96,1.96,1.96,5.88,1.96,0,0,54.87,0,0,0,0,0,0,0,1.96,0,0,0,0
