stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,500.76,8526.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,490.37,7386.21,0,6.13,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,183.89,18.39,0,0,85.81,0,147.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,110.41,141.95,0,239.21,0,0,0,575.69,0,0,0,0,0,144.58,0,0,0,0,0,0,0,0,0,0,0,4050.85,134.06,0,0,1466.82,0,18.4,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,100.7,0,103.85,0,18.88,0,427.99,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0,3030.53,110.14,0,0,1195.85,0,3.15,9.44,15.73,151.05,0,6.29,6.29,0,0,0,0,0
 14-21,0,0,0,6,81,27,0,47,0,0,0,8,4,0,2,0,3,0,0,0,0,53,0,0,29,446,9,0,5,17,0,24,0,53,6,3,90,151,0,0,4,0,0
 24-34,0,0,0,0.82,23.8,5.75,0,110.82,0,1.64,0,13.13,0,0,2.46,0.82,2.46,0,1.64,0,2.46,62.39,0,0,28.73,583.63,4.93,1.64,4.1,0,0,44.33,0,0,4.1,2.46,9.85,107.53,0,0,12.31,0,2.46
 36-46,0,0,0,0,10.47,0,0,109.57,0,0,2.42,18.53,0,0,0,0.81,0.81,0.81,0,0,2.42,44.31,0.81,0.81,20.14,418.95,1.61,4.03,2.42,0,0,25.78,0.81,0,0.81,1.61,0.81,89.43,0,0,8.86,0,0
 48-58,0,0,0,0,13.77,0,0,193.37,1.15,2.87,1.15,31.56,2.87,1.72,1.72,4.02,0.57,1.72,2.87,3.44,1.15,63.69,0,5.74,17.21,365.51,1.72,1.15,2.87,0,0,22.38,0,0,0,0,0,77.46,0,0,8.61,0,0.57
 60-70,0,0,0,0,14.72,0.98,0,190.42,0,4.91,1.96,46.13,2.94,0.98,1.96,1.96,0.98,0.98,0,0.98,0,55.95,0.98,5.89,4.91,297.4,1.96,1.96,1.96,0,1.96,14.72,0,0,1.96,0,0,41.22,0,0.98,4.91,0,4.91
 72-82,0,0,1.96,0,22.58,6.87,0,150.19,2.94,0.98,6.87,35.34,10.8,0,0.98,4.91,3.93,1.96,1.96,3.93,0.98,107,0.98,2.94,18.65,275.85,0.98,0.98,3.93,0,0.98,13.74,0,0,1.96,0.98,0,21.6,2.94,2.94,14.72,7.85,2.94
 84-94,0,0,0,0,32.92,4.25,6.37,112.58,1.06,2.12,3.19,30.8,13.81,0,0,5.31,3.19,7.43,1.06,1.06,2.12,64.78,2.12,5.31,15.93,149.75,3.19,2.12,8.5,0,0,56.29,0,0,5.31,0,0,18.05,1.06,3.19,15.93,4.25,1.06
 96-106,0,0,0,0,17.49,4.37,4.37,66.66,0,4.37,4.37,26.23,8.74,0,2.19,10.93,5.46,3.28,1.09,1.09,3.28,55.74,1.09,3.28,13.11,124.58,1.09,4.37,6.56,0,1.09,56.83,0,0,1.09,1.09,0,7.65,1.09,0,10.93,2.19,1.09
108-118,0,0,0,0.77,31.4,8.43,6.89,55.92,0,4.6,1.53,24.51,11.49,0,0.77,15.32,3.83,6.89,0,3.83,3.06,49.02,0.77,1.53,11.49,126.38,2.3,2.3,6.13,0,0.77,26.04,0,0,4.6,1.53,0,3.06,3.06,0.77,3.83,0,3.06
120,0,0,1.96,0,15.68,13.72,1.96,88.19,0,7.84,3.92,21.56,13.72,0,1.96,21.56,3.92,1.96,0,3.92,0,41.16,1.96,1.96,13.72,170.5,3.92,5.88,3.92,0,1.96,39.2,0,0,1.96,0,0,7.84,0,1.96,15.68,3.92,1.96
