stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,289.91,5758.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0,0,0,0,0
  5-6,232.93,3297.74,0,6.13,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,79.69,6.13,0,0,6.13,0,79.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.06,65.72,0,65.72,0,0,0,307.56,0,0,0,0,0,157.72,0,0,0,0,0,0,0,0,0,0,0,1548.31,44.69,0,0,699.24,0,5.26,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,56.65,0,72.38,0,3.15,0,191.97,0,0,0,0,0,119.58,0,0,0,0,0,3.15,0,0,0,0,0,1614.4,44.06,0,0,673.45,0,3.15,6.29,6.29,97.56,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,4,32,237,123,0,296,0,0,0,18,8,13,1,2,5,1,2,2,11,80,0,0,78,1534,10,3,26,29,0,24,5,339,16,10,753,332,0,0,6,0,4
 24-34,0,0,0,9.85,56.64,14.78,0,293.87,0,2.46,2.46,14.78,3.28,0.82,1.64,3.28,9.85,4.1,4.1,5.75,8.21,132.16,4.1,0.82,46.79,1179.57,5.75,11.49,18.88,0.82,0,51.71,0.82,0,5.75,3.28,125.59,192.9,0,0,21.34,0,4.93
 36-46,0,0,0,3.22,20.14,3.22,0,223.17,4.83,1.61,8.86,35.45,8.86,0,0,3.22,1.61,2.42,2.42,4.83,4.83,111.18,0.81,3.22,37.06,787.94,4.03,4.03,9.67,0,0,44.31,0.81,0,0.81,0,0.81,158.72,0,0,12.09,0,2.42
 48-58,0,0,2.3,0,20.08,2.87,0,318.46,5.74,1.15,8.03,96.97,5.74,0.57,2.3,4.59,3.44,6.89,4.59,6.31,4.02,162.39,0.57,7.46,48.77,662.17,3.44,5.74,7.46,0.57,0,26.97,0,0,1.72,1.15,0,102.14,0,1.72,13.2,0,4.02
 60-70,0,0,2.94,0.98,20.61,1.96,0,348.44,3.93,2.94,2.94,112.88,12.76,0.98,6.87,6.87,1.96,6.87,5.89,5.89,3.93,139.38,1.96,3.93,38.28,589.89,2.94,6.87,9.82,0,0.98,32.39,0,0,3.93,1.96,0,70.67,0.98,8.83,17.67,0,0.98
 72-82,0,0,2.94,0,34.36,13.74,0,285.66,1.96,3.93,14.72,105.04,38.28,0,1.96,15.71,5.89,5.89,4.91,6.87,0.98,239.53,4.91,4.91,45.16,439.78,2.94,5.89,9.82,0,2.94,47.12,0,0,1.96,0,0,37.3,3.93,3.93,29.45,6.87,2.94
 84-94,0,0,1.06,0,47.79,19.12,5.31,192.23,2.12,7.43,12.74,50.98,25.49,1.06,1.06,22.3,15.93,6.37,2.12,8.5,6.37,162.49,6.37,10.62,50.98,258.08,8.5,4.25,9.56,0,0,108.33,0,0,10.62,1.06,0,29.74,4.25,5.31,30.8,1.06,2.12
 96-106,0,0,4.37,0,83.06,20.76,2.19,147.53,3.28,5.46,12.02,77.59,31.69,0,4.37,34.97,7.65,6.56,10.93,12.02,1.09,157.37,3.28,5.46,46.99,261.19,4.37,5.46,10.93,0,1.09,135.51,0,0,3.28,1.09,0,9.84,5.46,5.46,29.51,15.3,4.37
108-118,0,0,1.53,1.53,97.28,24.51,15.32,135.58,6.13,17.62,8.43,65.87,19.92,0,1.53,25.28,12.26,6.13,4.6,9.96,2.3,133.28,7.66,3.06,60.51,284.17,9.96,9.19,11.49,0,3.06,114.89,0.77,0,6.89,3.06,0,8.43,6.13,2.3,26.04,4.6,5.36
120,0,0,0,0,82.31,25.48,5.88,97.99,0,13.72,9.8,27.44,17.64,0,0,23.52,0,0,5.88,11.76,0,127.39,9.8,7.84,47.03,194.02,19.6,5.88,7.84,0,1.96,82.31,0,0,7.84,3.92,0,13.72,0,1.96,17.64,11.76,3.92
