stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,3.15,0,0,119.58,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,4,1,3,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,168,1,4,2,0,0,0,1,10,0,0,6,56,0,0,5,0,0
 24-34,0,0,4.1,0,3.28,0,13.95,0,0,0,2.46,0,0,0,0,0,0,0,0,6.57,0.82,0,0,951.37,0.82,13.95,1.64,0,0,0,0,0,0,0,1.64,132.98,0,0,6.57,0,0
 36-46,0,0,0,0,2.42,0,70.9,0,0,0,7.25,0,0,0,0,0,0,0,1.61,8.86,0.81,0,0,2076.21,0,10.47,1.61,0,0,0.81,0,0,0,0,0,223.98,0,0.81,3.22,0,0.81
 48-58,0,0,1.15,0,9.18,1.72,636.35,1.15,1.72,1.72,35,0.57,1.72,0,0,0.57,0.57,0,0.57,25.82,0.57,0.57,8.03,3224.21,0.57,7.46,0,0,0,4.02,0,0,0.57,0.57,0,326.49,0,0,4.02,0,2.3
 60-70,0,0,1.96,0,10.8,0.98,2090.64,2.94,0,0,59.87,0.98,0.98,2.94,0,1.96,0,0,0.98,33.37,0,3.93,2.94,4428.63,0,8.83,1.96,0,0,5.89,0,0,1.96,0,0,312.12,0,0.98,6.87,0,6.87
 72-82,0,0,1.96,0,19.63,10.8,2087.01,0,1.96,2.94,108.96,0.98,0.98,3.93,0,1.96,1.96,0,0,53.01,0.98,1.96,6.87,3069.66,0,15.71,5.89,0,0,3.93,0,0,0.98,0.98,0,119.76,1.96,3.93,4.91,0.98,3.93
 84-94,0,0,0,0,36.11,5.31,1281.88,1.06,1.06,4.25,115.76,4.25,3.19,2.12,1.06,3.19,2.12,1.06,6.37,56.29,1.06,5.31,3.19,1534.64,0,9.56,1.06,0,0,3.19,0,0,1.06,0,0,88.15,3.19,3.19,4.25,1.06,2.12
 96-106,0,0,0,0,20.76,3.28,917.99,0,0,1.09,73.22,0,2.19,3.28,0,3.28,2.19,2.19,0,39.34,0,2.19,1.09,1031.65,0,9.84,5.46,0,1.09,4.37,0,0,1.09,0,0,22.95,3.28,0,0,1.09,1.09
108-118,0,0,0,0,19.15,3.06,690.9,0.77,2.3,1.53,45.96,1.53,2.3,4.6,0.77,2.3,0.77,0.77,2.3,26.81,0.77,3.83,1.53,1164.26,1.53,8.43,3.06,0,0,3.83,0,0,0,0,0,19.92,3.06,0,5.36,0.77,0
120,0,0,1.96,0,25.48,11.76,644.77,3.92,5.88,0,52.91,1.96,3.92,7.84,3.92,0,1.96,3.92,1.96,27.44,1.96,0,5.88,1297.38,0,11.76,0,0,0,9.8,0,0,0,0,0,23.52,0,0,3.92,3.92,0
