stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1937.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1195.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,21.03,0,42.06,0,0,0,94.63,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,523.11,31.54,0,0,212.93,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,40.91,0,0,0,94.41,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,588.48,47.2,0,0,188.82,0,3.15,6.29,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,27,8,0,20,0,0,0,20,0,0,0,0,1,0,0,0,1,19,0,0,15,247,6,1,6,2,0,0,2,33,12,0,16,135,0,0,1,0,0
 24-34,0,0,1.64,0.82,12.31,0,0,22.98,0,0,0.82,26.27,0,0,0,0,1.64,0,1.64,0.82,0,24.63,0.82,0,15.6,333.27,2.46,13.95,3.28,0,0,1.64,0,0.82,1.64,0,4.1,132.16,0,0,6.57,0,0
 36-46,0,0,0.81,0,4.03,0,0,58.81,0,0.81,2.42,22.56,0,0,0,0,0.81,0,0,0,0,31.42,0,0.81,9.67,335.16,0,7.25,0.81,0,0.81,0,0,0,1.61,0,0,82.18,0,0,4.03,0,0
 48-58,0,0,0,0,2.3,0,0,99.27,0.57,0,1.15,24.1,0,0,0,0,0,0,2.87,0,0,27.54,0,0,5.16,320.18,0.57,5.16,2.3,0,0,0,0,0,0,0,0,61.4,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,212.99,0,0.98,0,31.41,0.98,0,0,0,0.98,0.98,1.96,0,0,42.21,0,0.98,3.93,464.26,0,9.82,0.98,0,0,0,0,0,0.98,0,0,62.82,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,205.17,0,0,1.96,37.3,3.93,0,0.98,0,0,0,0,0.98,0,37.3,0,0.98,4.91,374.99,0,5.89,6.87,0,0,0,0,0,0,0,0,33.38,1.96,2.94,2.94,0,0
 84-94,0,0,2.12,0,5.31,0,0,132.75,2.12,1.06,1.06,25.49,2.12,0,0,0,1.06,0,0,0,0,43.54,0,0,4.25,165.68,0,9.56,7.43,0,0,0,0,0,4.25,0,0,21.24,2.12,2.12,2.12,1.06,1.06
 96-106,0,0,0,0,3.28,1.09,0,95.08,0,1.09,1.09,28.41,1.09,0,1.09,0,1.09,0,2.19,0,1.09,46.99,1.09,0,6.56,133.33,0,13.11,3.28,0,0,0,0,0,0,0,0,14.21,1.09,0,0,2.19,0
108-118,0,0,0.77,0.77,7.66,1.53,0.77,61.28,0,1.53,1.53,18.38,0,0,0,0,3.06,0,0,0,0,27.57,0,0,4.6,173.11,0.77,4.6,8.43,0,0,0,0,0,0,0.77,0,5.36,3.06,0,1.53,1.53,0
120,0,0,1.96,0,3.92,1.96,0,78.39,0,0,1.96,19.6,0,0,0,3.92,1.96,0,1.96,0,0,19.6,0,0,3.92,180.3,1.96,5.88,3.92,0,0,0,0,0,1.96,0,0,11.76,0,0,0,0,0
