stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1713.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,1342.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,12.26,0,61.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,70.98,23.66,0,52.57,0,0,0,78.86,0,0,0,0,0,84.12,0,0,0,0,0,0,0,0,0,0,0,764.96,60.46,0,0,373.28,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,62.94,0,12.59,0,94.41,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,3.15,777.3,66.09,0,0,361.9,0,0,0,6.29,40.91,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,1,2,61,6,0,17,0,0,0,4,3,0,1,0,2,0,0,0,1,21,0,0,16,267,11,1,2,4,0,5,2,42,5,5,50,114,0,0,2,0,0
 24-34,0,0,0,2.46,22.16,0.82,0,48.43,0,3.28,1.64,13.95,1.64,0.82,0,0.82,6.57,0,1.64,1.64,0,47.61,1.64,0.82,27.09,687.06,4.1,16.42,4.93,0,0,11.49,0,0.82,2.46,0.82,13.13,185.51,0,0,6.57,0,1.64
 36-46,0,0,0,0,4.83,0,0,170.8,0,1.61,3.22,29,0,0,2.42,0,1.61,0.81,2.42,0,4.03,69.29,0,0,20.14,1023.2,1.61,15.31,4.83,0,0,10.47,0,0,1.61,0,0.81,253.79,0,0,8.06,0,0.81
 48-58,0,0,0,0,6.89,1.15,0,343.14,1.15,1.72,2.87,36.72,0.57,0,1.15,1.72,1.15,0,1.72,0,1.72,76.89,1.72,2.87,19.51,874.48,0.57,10.9,1.72,0,1.72,9.18,0,0,0.57,0.57,0,214.03,0,0.57,2.3,0,1.72
 60-70,0,0,0.98,0,11.78,1.96,0,806.81,0,0.98,7.85,56.93,0,0,1.96,3.93,1.96,0,1.96,0,2.94,120.73,0.98,3.93,18.65,1067.9,0,10.8,3.93,0,0,6.87,0,0,0.98,0,0,196.3,0,0.98,6.87,0.98,2.94
 72-82,0,0,0.98,0,16.69,1.96,0.98,763.73,0,0,9.82,58.9,3.93,0,2.94,0,0.98,1.96,1.96,0.98,0,127.62,0,0,10.8,770.6,0.98,9.82,7.85,0,0.98,14.72,0,0,0,0,0,75.59,0.98,1.96,8.83,0.98,3.93
 84-94,0,0,3.19,0,21.24,6.37,0,544.83,2.12,7.43,7.43,76.47,9.56,0,2.12,5.31,5.31,3.19,4.25,0,1.06,94.52,1.06,4.25,10.62,399.33,5.31,8.5,10.62,0,2.12,22.3,0,0,2.12,1.06,0,53.1,3.19,3.19,4.25,2.12,1.06
 96-106,0,0,1.09,0,19.67,2.19,0,334.41,1.09,4.37,2.19,36.06,3.28,0,7.65,4.37,0,2.19,4.37,3.28,0,65.57,1.09,0,5.46,297.25,0,16.39,12.02,0,2.19,19.67,0,0,1.09,0,0,17.49,2.19,2.19,1.09,5.46,2.19
108-118,0,0,0.77,0.77,15.32,3.06,1.53,248.17,1.53,3.06,1.53,50.55,3.83,0,3.83,3.06,3.83,6.13,3.06,0.77,0,69.7,0.77,3.83,4.6,323.24,3.83,3.83,6.89,0,2.3,13.02,0,0,2.3,0,0,8.43,1.53,0.77,5.36,1.53,3.06
120,1.96,0,0,0,15.68,1.96,0,190.1,3.92,3.92,7.84,31.36,7.84,0,1.96,1.96,0,3.92,1.96,1.96,0,43.12,0,1.96,1.96,315.53,5.88,3.92,7.84,0,0,19.6,0,0,0,0,0,11.76,1.96,1.96,7.84,3.92,1.96
