stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2885.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,3978.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,60.46,0,57.83,0,2.63,0,591.46,0,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,1987.31,21.03,0,0,512.6,0,7.89,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,84.97,0,125.88,0,34.62,0,978.71,0,0,0,0,0,81.82,0,0,0,0,0,0,0,0,0,0,0,3008.5,78.67,0,0,1063.68,0,9.44,0,9.44,103.85,0,34.62,3.15,0,0,0,0,0
 14-21,2,2,2,100,2435,295,0,445,0,7,0,75,72,48,30,13,92,1,9,1,10,683,23,0,680,4172,359,12,56,153,0,361,4,808,148,247,1811,1423,0,0,97,0,7
 24-34,0,0,0,21.34,714.97,10.67,0,50.07,5.75,33.66,6.57,16.42,18.88,0.82,24.63,27.09,89.47,1.64,29.55,5.75,4.93,356.25,46.79,4.1,176.48,631.24,51.71,45.97,16.42,0,1.64,229.02,0,0.82,46.79,21.34,78.8,136.26,0,0,182.23,0,9.03
 36-46,0,0,0,6.45,515.63,4.03,0,73.32,6.45,74.12,9.67,82.18,21.75,0,35.45,35.45,37.06,2.42,25.78,8.86,4.83,463.26,37.87,24.17,148.24,679.98,54.79,45.12,14.5,0,3.22,296.49,0,0,40.28,7.25,3.22,208.67,0,1.61,149.85,0.81,8.06
 48-58,0,0,0,1.15,378.14,0.57,0,82.63,2.87,94.1,5.74,68.28,13.77,14.92,30.99,40.17,17.21,4.59,18.36,3.44,4.02,461.91,26.97,40.74,68.86,276,5.74,22.95,6.89,0,5.16,346.58,0,0,12.62,1.15,0,63.69,0,4.02,121.65,1.15,11.48
 60-70,0.98,0,0,0.98,488.8,1.96,0,174.71,6.87,137.41,14.72,202.19,35.33,7.85,33.37,57.91,25.52,8.83,33.37,9.82,7.85,949.13,35.33,65.76,90.3,347.46,12.76,29.45,15.7,0,16.69,397.52,0,0,28.46,1.96,0,98.15,9.82,30.43,133.49,17.67,7.85
 72-82,0,0,1.96,0,549.73,8.83,0.98,186.52,11.78,111.91,16.69,124.67,83.44,2.94,37.3,70.68,49.08,14.72,56.94,6.87,1.96,977.74,42.21,42.21,70.68,291.55,7.85,75.59,19.63,0,14.72,430.95,0,0,38.28,1.96,0,23.56,28.47,49.08,177.68,47.12,5.89
 84-94,0,0,3.19,11.68,1216.03,11.68,5.31,218.78,27.61,300.56,14.87,101.96,244.27,9.56,35.05,118.95,122.13,13.81,109.39,23.36,7.43,934.59,74.34,66.91,79.65,213.47,10.62,128.51,21.24,0,15.93,1796.97,1.06,0,113.64,1.06,0,21.24,121.07,42.48,186.92,67.97,11.68
 96-106,0,0,10.93,15.3,1773.69,44.81,16.39,361.73,31.69,348.62,22.95,195.62,343.15,1.09,72.13,169.39,173.76,19.67,156.28,46.99,9.84,1202.13,114.75,62.29,93.98,502.71,19.67,209.83,43.71,1.09,45.9,1841.45,1.09,0,106.01,3.28,0,29.51,207.64,56.83,312.55,92.89,21.86
108-118,3.06,0,8.43,22.21,2078.06,29.11,46.72,218.3,29.87,607.41,22.21,216,443.49,0.77,33.7,145.53,215.24,32.94,135.58,75.83,11.49,1206.39,121.02,49.02,94.98,468,32.17,162.38,55.15,0,42.89,2541.47,0,0,130.21,4.6,0,29.87,240.51,39.06,245.87,62.81,22.21
120,7.84,0,1.96,5.88,1291.5,17.64,9.8,145.02,11.76,358.64,15.68,131.31,203.82,1.96,39.2,231.25,99.95,21.56,86.23,29.4,1.96,942.66,72.51,29.4,82.31,346.88,23.52,109.75,23.52,0,29.4,1277.78,0,0,80.35,3.92,0,17.64,86.23,39.2,252.81,47.03,5.88
