stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,somites,spinal_cord
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,2.63,0,0,0,23.66,2.63,21.03,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,78.67,0,0
 14-21,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0,0.82,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,1.61
 48-58,0,0,0,0,0,2.3,0,0,0,1.15,0,3.44,0,0,0,1.15
 60-70,0,0,0,0,0,6.87,0.98,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0,0,5.89,0,0,0,0,0,4.91,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,0,4.37,0,1.09,2.19,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,3.83,0,0,3.06,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,9.8,0,0,3.92,0,0,0,0
