stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,606.18,8763.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0,0
  5-6,1078.82,12749.64,0,12.26,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,177.76,18.39,0,0,85.81,0,171.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,310.19,423.22,0,425.85,0,2.63,0,1800.67,0,0,0,0,0,633.52,0,0,0,0,0,0,0,0,0,0,0,12596.79,407.45,0,0,4505.61,0,10.51,21.03,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,424.84,0,409.11,0,37.76,0,1507.4,0,0,0,0,0,380.78,0,0,0,0,0,6.29,0,0,0,0,3.15,10309.47,336.73,0,0,4015.53,0,15.73,40.91,18.88,383.93,0,31.47,15.73,0,0,0,0,0
 14-21,1,6,1,127,1591,562,0,1491,0,1,0,116,44,72,7,6,22,2,4,4,28,693,2,0,610,8583,161,11,108,271,0,86,13,1738,32,64,3514,2498,0,0,12,0,25
 24-34,0.82,0.82,0.82,73.06,423.56,108.35,0,1863.34,97.68,9.85,9.03,148.57,29.55,4.1,2.46,25.45,18.06,25.45,27.09,30.37,44.33,946.45,8.21,4.1,352.15,5901.13,44.33,36.94,81.26,0.82,0,123.95,1.64,9.85,3.28,18.06,804.44,1309.27,0,0,58.28,0,62.39
 36-46,0.81,0,2.42,8.86,145.02,7.25,0,1156.14,94.26,4.83,22.56,185.3,33.03,0,5.64,18.53,6.45,19.34,11.28,32.23,6.45,564.77,1.61,9.67,190.94,2812.59,18.53,16.11,37.06,0.81,1.61,70.09,5.64,1.61,1.61,9.67,26.59,655.81,0,0,40.28,0,26.59
 48-58,0.57,0,1.15,6.31,144.03,9.75,0,914.64,18.94,8.61,28.12,272.56,55.66,0.57,13.2,16.07,8.61,28.12,13.2,39.59,4.59,534.79,3.44,25.82,236.98,1616.41,10.33,9.75,24.67,0.57,0.57,40.17,0.57,1.15,2.3,4.02,0,292.64,0,1.15,47.05,0,23.53
 60-70,0.98,0,0.98,0,120.73,20.61,2.94,729.27,20.61,8.83,25.52,282.68,89.32,0.98,3.93,14.72,10.8,16.69,11.78,47.11,1.96,412.24,3.93,24.54,169.8,1117.95,9.82,12.76,16.69,0,0.98,47.11,0.98,0.98,4.91,4.91,0,114.84,3.93,3.93,38.28,3.93,10.8
 72-82,0,0,9.82,0.98,218.91,81.48,37.3,608.63,23.56,14.72,41.23,348.49,157.07,0.98,5.89,81.48,23.56,23.56,19.63,46.14,3.93,634.15,10.8,24.54,252.29,1041.54,17.67,16.69,19.63,0,0.98,124.67,0.98,0,8.83,2.94,0,71.66,8.83,12.76,74.61,16.69,9.82
 84-94,0,0,4.25,0,288.87,84.96,76.47,574.56,19.12,19.12,25.49,230.46,190.1,1.06,11.68,59.47,37.17,16.99,24.43,79.65,6.37,483.23,5.31,25.49,198.6,665.9,18.05,16.99,28.68,0,4.25,380.21,0,0,13.81,2.12,0,57.35,20.18,11.68,74.34,15.93,6.37
 96-106,1.09,0,8.74,3.28,664.45,145.35,83.06,493.97,18.58,56.83,39.34,281.95,147.53,0,21.86,108.19,34.97,12.02,36.06,53.55,5.46,573.74,9.84,16.39,227.31,711.44,26.23,29.51,32.79,1.09,6.56,508.17,0,0,13.11,5.46,0,44.81,9.84,19.67,110.38,16.39,12.02
108-118,0,0,3.83,3.06,1129.8,142.47,75.83,394.47,20.68,121.02,36.77,278.04,124.09,0,7.66,100.34,40.6,14.55,23.74,59.75,8.43,588.26,20.68,11.49,282.64,824.18,38.3,27.57,29.11,0,4.6,549.96,1.53,0,11.49,5.36,0,31.4,19.92,5.36,83.49,6.89,22.21
120,0,0,0,0,805.47,158.74,21.56,307.69,23.52,96.03,29.4,235.17,50.95,0,11.76,111.71,19.6,13.72,13.72,25.48,1.96,505.62,17.64,7.84,264.57,874.06,47.03,7.84,23.52,0,1.96,425.27,0,1.96,5.88,7.84,0,31.36,11.76,9.8,88.19,3.92,5.88
