stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,2095.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1458.85,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,5.26,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,239.21,2.63,0,0,63.09,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,15.73,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,20,9,0,9,0,0,0,1,0,1,0,4,0,0,0,0,0,7,0,0,8,34,8,0,0,1,0,37,0,2,0,0,7,9,0,0,6,0,1
 24-34,0,0,0.82,0.82,10.67,0.82,0,18.06,0,4.93,0,0,0.82,0.82,1.64,10.67,16.42,0.82,0.82,0,1.64,15.6,6.57,0,9.85,45.97,8.21,4.1,1.64,0,0,172.38,0,0,0,0.82,2.46,4.93,0,0,22.98,0,0.82
 36-46,0,0,0,0,8.86,0,0,10.47,0,2.42,0.81,3.22,0.81,0,0,14.5,4.83,0,0,0,4.83,7.25,0,0,4.03,17.72,7.25,4.03,0.81,0,0,118.43,0,0,0,0,0,4.83,0,0,12.09,0,1.61
 48-58,0,0,0,0.57,13.2,0.57,0,16.64,0.57,3.44,0.57,8.61,1.15,0.57,0,15.49,1.15,1.15,1.15,1.15,1.72,18.94,5.16,0,2.3,18.94,10.33,1.72,0,0,0,82.63,0,0,0.57,0,0,2.3,0,0,9.75,0,3.44
 60-70,0,0,0,0,20.61,1.96,0,46.13,0,2.94,0,14.72,2.94,0,0,13.74,4.91,1.96,0,1.96,0,34.35,1.96,0,0.98,17.67,5.89,3.93,1.96,0,0,50.06,0,0,0,0,0,2.94,0,0,11.78,0,1.96
 72-82,0,0,3.93,0,26.5,10.8,0,64.79,0.98,3.93,3.93,21.6,6.87,0.98,0.98,20.61,2.94,2.94,3.93,0.98,0,56.94,1.96,2.94,0.98,18.65,15.71,3.93,0,0,0,40.25,0,0,0,0,0,2.94,0.98,1.96,18.65,0,1.96
 84-94,0,0,1.06,0,49.92,8.5,2.12,113.64,0,9.56,3.19,19.12,10.62,0,0,39.3,9.56,1.06,4.25,8.5,3.19,61.6,7.43,2.12,3.19,22.3,16.99,5.31,6.37,0,0,145.5,1.06,0,4.25,1.06,0,1.06,2.12,4.25,23.36,0,0
 96-106,0,0,1.09,0,85.24,7.65,2.19,131.14,0,7.65,0,14.21,26.23,0,0,51.36,7.65,1.09,5.46,5.46,1.09,72.13,4.37,0,2.19,32.79,10.93,8.74,7.65,0,0,110.38,0,0,4.37,0,0,1.09,2.19,1.09,18.58,1.09,2.19
108-118,0,0,1.53,0,126.38,5.36,5.36,129.45,0,6.13,0,13.02,34.47,0,0.77,32.94,11.49,3.06,2.3,5.36,2.3,63.57,3.83,0.77,5.36,14.55,6.89,12.26,6.89,0,0,78.13,0,0,6.89,0,0,0,5.36,0,18.38,0.77,2.3
120,0,0,0,0,105.83,3.92,1.96,52.91,0,13.72,1.96,11.76,29.4,0,0,70.55,7.84,1.96,7.84,15.68,0,56.83,5.88,1.96,7.84,31.36,17.64,3.92,9.8,0,3.92,64.67,0,0,13.72,0,0,3.92,1.96,0,11.76,0,0
