stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1383.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,833.63,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,21.03,0,36.8,0,0,0,55.2,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,423.22,26.29,0,0,147.21,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,12.59,0,59.79,0,3.15,0,53.5,0,0,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0,588.48,15.73,0,0,283.23,0,0,6.29,0,25.18,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,7,136,31,0,29,0,1,0,9,7,10,2,1,3,0,0,0,3,59,1,0,50,341,10,1,13,10,0,18,1,93,6,5,66,141,0,0,4,0,0
 24-34,0,0,4.1,4.1,41.86,3.28,0,46.79,0,9.03,3.28,12.31,2.46,0,4.93,4.93,5.75,0,3.28,3.28,4.93,74.7,2.46,0.82,49.25,544.23,7.39,14.78,10.67,0,0,69.77,0,0,14.78,0.82,16.42,172.38,0,0,25.45,0,3.28
 36-46,0,0,1.61,0,13.7,1.61,0,91.85,0,5.64,7.25,12.89,2.42,0,3.22,4.03,3.22,0,3.22,0,6.45,78.96,1.61,0.81,29,695.29,4.03,13.7,7.25,0,0,57.2,0,0,13.7,1.61,0,181.28,0,0,12.89,0,5.64
 48-58,0,0,1.15,0,19.51,3.44,0,209.44,1.15,6.31,3.44,57.95,1.15,4.59,4.02,3.44,1.72,1.72,1.72,1.15,3.44,99.84,2.3,2.3,17.79,708.08,4.59,7.46,5.74,0,1.15,26.4,0.57,0,4.02,2.3,0,169.85,0,1.72,16.64,0,6.89
 60-70,0,0,0.98,0,22.58,0.98,0,348.44,1.96,13.74,4.91,88.34,2.94,0,2.94,7.85,1.96,0.98,2.94,0,0,155.08,3.93,7.85,12.76,955.02,1.96,11.78,7.85,0,0.98,47.11,0,0,10.8,0.98,0,137.41,0.98,1.96,16.69,0,8.83
 72-82,0,0,7.85,0.98,29.45,21.6,0,355.36,1.96,8.83,9.82,118.78,11.78,2.94,3.93,14.72,3.93,3.93,3.93,1.96,2.94,193.39,5.89,7.85,25.52,902.15,1.96,13.74,13.74,0,0.98,35.34,0,0,10.8,0,0,79.51,3.93,0.98,36.32,4.91,9.82
 84-94,0,0,7.43,0,45.67,16.99,0,307.99,0,8.5,9.56,86.03,15.93,3.19,7.43,23.36,10.62,10.62,4.25,6.37,9.56,110.45,1.06,8.5,14.87,440.75,3.19,11.68,24.43,0,2.12,94.52,0,0,39.3,0,0,36.11,6.37,3.19,39.3,6.37,6.37
 96-106,0,0,6.56,0,54.64,19.67,4.37,204.36,1.09,13.11,4.37,79.78,21.86,1.09,5.46,20.76,8.74,4.37,13.11,5.46,3.28,127.86,6.56,6.56,24.04,395.61,4.37,20.76,20.76,0,5.46,87.43,0,0,15.3,0,0,24.04,14.21,5.46,25.14,8.74,12.02
108-118,0,0,3.06,0,47.49,10.72,7.66,194.55,1.53,16.09,6.13,80.43,23.74,0,4.6,19.92,3.83,16.85,6.13,6.13,10.72,107.23,5.36,3.06,12.26,402.9,4.6,14.55,13.02,0,3.06,75.06,0,0,29.87,3.06,0,19.92,25.28,5.36,29.87,3.83,12.26
120,0,0,7.84,3.92,58.79,9.8,3.92,129.35,1.96,11.76,3.92,84.27,41.16,0,1.96,21.56,5.88,13.72,9.8,3.92,0,58.79,3.92,5.88,11.76,515.42,3.92,23.52,19.6,1.96,3.92,60.75,0,0,13.72,0,0,17.64,5.88,0,19.6,7.84,0
