stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,9.44,0,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,191.97,9.44,0,0,91.26,0,0,0,3.15,0,3.15,0,0
 14-21,0,1,14,1,20,0,0,34,0,0,0,0,0,0,9,0,6,146,2,0,10,12,0,0,23,18,15,111,0,0
 24-34,0,0.82,2.46,0,21.34,0,0.82,41.86,0.82,0,0,0,0,1.64,7.39,0,1.64,83.73,0.82,1.64,4.93,0,0,0,0,8.21,1.64,69.77,0,0
 36-46,0,0,0,0,4.03,0,0,16.11,0,0,0.81,0,0,0,2.42,0.81,0,41.09,0,1.61,1.61,0,0,0,0,2.42,0,36.26,0,0.81
 48-58,0,0,1.15,0.57,4.02,0,0,15.49,0,0,0,0,0.57,0.57,1.15,0,0,24.1,0.57,0.57,2.87,0,0,0,0,2.3,0,36.72,0,0
 60-70,0,0,0.98,0,10.8,0,0,10.8,0,0,0,0,1.96,0,0.98,0,0,21.59,0,1.96,0,0,0,0,0,0.98,0,2.94,0,0.98
 72-82,0,0,0,0,8.83,0,0,11.78,0,0,0,0,1.96,0,0.98,0,0,24.54,0,3.93,4.91,0,0,0,0,0.98,0,4.91,0,0
 84-94,0,0,1.06,0,2.12,0,0,2.12,0,0,0,0,3.19,0,0,0,0,6.37,0,4.25,10.62,0,1.06,0,0,0,0,7.43,0,0
 96-106,0,1.09,1.09,0,5.46,0,0,6.56,0,0,0,0,9.84,0,2.19,0,1.09,12.02,0,3.28,16.39,0,0,0,0,3.28,0,1.09,1.09,0
108-118,0,0,1.53,0,3.06,0.77,0,3.06,0,0,0,0.77,9.96,0,0,0,0,6.13,0,6.13,12.26,0,0,0.77,0,3.06,0,3.83,0,0
120,0,0,3.92,0,0,0,0,3.92,0,0,0,0,9.8,1.96,1.96,0,0,3.92,1.96,1.96,7.84,0,0,0,0,3.92,0,1.96,0,0
