stage,axial,endoderm,epidermis,eye,fin_epithelia,glial,heart,mesenchyme,muscle,neural,pericytes,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.58,0,4.5,0,0,0,0
 14-21,0,0,1.95,0,0,0,0,0.84,0,3.51,0,0,1.86,0,0,0
 24-34,0,0.67,0.8,0.69,0,0,0,0,2.52,0.63,0,0,1.12,0,3.89,0
 36-46,0,0,7.11,0,0,0,0,0.74,0.83,1.32,0,0,0,0,0,0
 48-58,0,0,0.55,0,0,0,0,0,0.58,4.26,0.56,0,0,0,1.27,0
 60-70,0,0,0.9,0,0,0,0,10.47,1.19,0,0,0,0,0.61,0.72,0
 72-82,0,0,0,0,0,0,0,3.07,0,0.67,0,0,0,0,0,0
 84-94,0,0,1.64,0,0.63,0,1.18,1.45,0,2.52,0,0,0,0,1.68,0
 96-106,0,0,2.12,0,0,1.55,0,4.31,0,0,0,0,0,0,0,0
108-118,0,0,0,2.32,0,0,0,3.18,1.73,1.14,0,0,0,0,0,1.28
120,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0
