stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.1,294.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0
  5-6,0,121.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.13,10.58,0,17.5,0,0,0,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.21,10.13,0,0,66.48,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.34,0,13.15,0,0,0,35.97,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,230.99,6.07,0,0,93.72,0,0,0,14.78,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,3.72,20.2,13.95,0,19.84,0,0,0,2.08,0.82,0,0,0,0.81,0,0,0.97,0.88,11.87,0,0,6.08,140.61,1.86,0,1.07,3.2,0,5.05,14.59,1.63,0,26.86,41.13,0,0,6.61,0,2.67
 24-34,0,0,0,3.45,24.61,2,0,44.64,0,0,0,11.5,2.77,0,2.13,1.04,3.74,1.94,0,8.74,9.97,48.9,1.64,0,17.5,405.55,6.89,3.44,6.49,0,0,12.45,0,4.62,4.92,12.28,95.08,0,0,32.48,0,7.67
 36-46,0,0,0,0,2.06,0,0,59.73,0,0,1.06,17.91,1.27,0,0.57,1.56,1.67,1.36,0,6.05,0.7,32.49,0,0.55,7.86,281.79,3.29,6.78,3.01,0,8.6,28.89,0,3.33,9.23,0,90.82,0,0,39.21,0,13.32
 48-58,0,0,0.54,0,11.55,0,0,113.34,1.15,0.37,3.31,24.31,0,0.49,1.91,1.58,0.85,1.23,2.81,5.72,3.9,36.53,0.53,1.28,20.79,247.35,1.2,3.76,3.38,0,0,12.65,0,0.88,0,0,87.05,0,0,15.28,0,4.13
 60-70,0,0,1.1,0,16.92,0,0,141.4,0.65,5.88,0.81,75.44,1.93,0,0,0.63,0,2.65,0,0.68,0,58.52,3.03,0,11.59,261.68,0,2.39,2.34,0,0,21.09,0,1.68,0,0,30.2,0,0.61,38.32,0,2.66
 72-82,0,0,0,0,9.99,4.27,0,203.03,0.58,2.04,3.99,130.93,3.85,0,1.39,4.84,1.33,5.69,1.45,1.44,0.64,86.7,1.46,3.31,2.54,240,0.53,5.62,5.68,0,2.42,12.76,0,0.53,0,0,36,3.44,2.33,28.91,0,10.78
 84-94,0,0,1.23,0,8.29,0,0,167.8,0,1.88,1.4,64.84,3.09,1.23,2.81,13.72,1.87,3.29,1.88,5.11,1.3,62.9,0,8.8,10.83,209.18,0.6,6.01,12.18,0,0,55.37,0,3.11,0,0,44.92,1.01,0,28.15,0.88,9.38
 96-106,0,0,0,0,22.2,3.14,0,140.92,0,0.91,0.66,134.67,7.41,0,7.74,11.23,1.97,7.68,5.9,8.09,1.74,115.25,0.78,2.25,14.29,258.33,0,2.35,10.33,0,1.44,59.81,0,1.44,0.57,0,16.03,0.72,0,26.21,1.02,1.89
108-118,0,0,0,0,32.59,8.77,6.02,175.77,2.34,4.8,6.51,119.23,9.99,0,2.76,6.83,10.32,9,4.17,5.24,3.53,115.72,3.36,3.39,12.92,258.61,5.98,8.07,17.66,0,11.09,57.02,0,2.34,0.86,0,20.29,1.12,1.3,23.75,4.83,12.85
120,0,0,0,0,52.61,12.55,0,168.97,1.26,18.74,31.88,83.65,28.55,5.2,1.15,33.97,4.58,1.01,0,1.45,1.54,126.31,0,10.85,14.73,491.66,0,11.8,17.81,0,19.01,43.1,0,7.74,0,0,19.06,2.06,2.68,61.21,15.18,0
