stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,191.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.04,0,9.31,0,0,0,41.67,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,270.29,17.28,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.49,0,12.43,0,44.25,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,430.66,8.57,0,0,80.29,0,5.07,12.01,4.36,20.27,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,221.44,136.6,0,14.67,0,0,0,2.08,0.81,0.81,0,0,37.62,0,0,0,1.05,3.18,5.29,0,0,212.96,3.23,2.7,1.78,0.84,0,0.81,0,7.17,0,1.08,9.09,140.75,0,0,0,0,0
 24-34,0,0,2.47,0,124.68,114.62,0,19.06,0,3.93,0,7.52,0.61,0,5.6,0,145.06,0,0.68,0,6.41,14.59,10.74,0,4.23,567.84,0,25.88,0,0,0,2.16,0,0,0,3.34,5.26,233.6,0,0,2.41,0,0
 36-46,0,0,0.73,0,24.12,5.01,0,57.71,0,1.59,0,4.07,0,0,0.69,0,48.56,0,0,0,0,14.72,1.97,0,2.47,1068.13,0,30.49,0.77,0,0,11.08,0,0,0.6,0,0,305.92,0,0,0.96,0,0
 48-58,0,0,0,0,16.34,3.29,0,171.78,0.68,3.79,0,15.96,0,0,1.33,0,35.95,0,0.53,0,0,8.01,8.08,5.96,8.68,1392.35,0.42,12.55,0,0,0,7.72,0,0,0.38,0,0,231.65,0,0,0.51,0,3.42
 60-70,0,0,0.82,0,42.82,1.61,0,627.72,0,3.8,0.62,32.08,0.62,0,0,0,26.28,0,0,0,3.12,22.6,10.46,0,7.16,1680.9,0,18.75,9.39,0,1.13,0.68,0,0,0,0,0,224.77,0,4.23,0,0,20.07
 72-82,0,0,0.92,0,21.15,7.83,0,791.97,1.45,1.28,0.89,57.08,1.73,0,0,1.45,46.68,0,1.05,0,0,57.67,38.47,0,6.81,1889.9,0,37.78,0.61,0,0,1.96,0,0,0.76,0,0,176.28,2.19,8.91,11.46,4.65,4.93
 84-94,0,0,4.58,0,27.37,14.58,0,554.65,0,0.6,3.91,59.84,5.62,0,0.78,2.78,81.27,10.51,0,0,0,49.09,44.44,6.4,9.39,1112.81,0,38.81,3.82,0,0,1.66,0,0,2.75,0,0,102.25,6.86,11.06,1.32,5.05,0
 96-106,0,0,0.63,0,36.8,17.23,0,579.96,0,7.88,7.46,71.86,12.95,0,0,0.74,96.92,1.03,1.9,1.01,0,27.05,31.5,0,2.54,1080.27,0,78.65,8.86,0,0,5.52,0,0,0,0,0,58.17,4.8,18.51,4.41,10.85,0
108-118,0,0,0.57,0.74,47.31,35.96,6.41,458.5,0,4.2,1.36,52.64,4.19,0,0.99,0.6,99.88,1.18,0.41,2.27,0,77.26,49.56,7.82,7.32,1373.94,0,70.79,5.12,0,5.33,0,0,0,1.33,0,0,47.72,2.21,34.24,0,2.63,0
120,0,0,0,0,35.37,56.24,0,350.3,0,2.34,0,69.58,24.7,0,0,7.69,64.93,0,0,3.28,0,49.24,13.87,9.75,3.79,1754.59,1.33,97.11,1.61,0,0,9.22,0,0,1.12,0,0,111.84,12.35,7.95,22.01,4.27,0
