stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.01,268.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.22,480.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,0,66.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,27.84,0,0,0,0,25.28,0,0,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,333.36,6.03,0,0,47.34,0,3.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.01,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.28,9.65,0,0,25.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.31,2.77,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,378.5,0,3.56,0.81,0.95,0,8.41,3.89,4.04,0,0,1.19,329.22,0,0,0,0,8.89
 24-34,0,0,3.38,6.14,1.85,0,35.98,0,0,0,12.06,0,0,1.45,0,0.62,0,0,0,0,5.94,0,0,4.88,4166.95,3.42,25.13,4.3,0,0,7.81,0,0,0,7.91,1.84,1203.25,0,0,2.28,0,57.82
 36-46,0,0,1.72,10.84,1.48,0,61.84,0,0,0,127.58,1.07,0,5.94,0,0,0,0,0,1.99,13.57,1.68,0,7.98,12344.18,0,36.18,0.8,0,0,15.1,0,0,0.74,3,0,2629.59,0,0,2.42,0,163.01
 48-58,0,0,0.49,30.85,0,0,328.24,0,6.79,4.93,279.5,0,0,0,5.12,0,0,0,0,0.71,32.52,0,0.44,10.92,11134.08,2.65,17.08,1.28,0,0,6.74,0,0,1.06,0,0,2410.14,0,0,2.59,0,69.87
 60-70,0,0,2.31,4.53,0,0,395.29,0,0.9,13.14,344.14,0,4.48,0,0.57,1.37,0,0,6.19,4.02,32.95,0,0,4.94,9644.8,0,12.59,2.12,0,0,5.84,0,0,2.66,0,0,2210.01,0,0,0,0,80.43
 72-82,0,0,7.07,20.89,22.67,0,798.66,0.92,0.53,2.03,239.47,0.51,0,1.31,5.43,0,0,0,0,0,77.22,5.11,1.4,2.72,5619.9,4.03,24.67,6.42,0,0,0.95,0,0,0.97,0,0,997.07,0,1.14,4.13,0,57.56
 84-94,0,0,1.45,28.05,7.28,2.96,748.22,1.34,0,1.55,126.21,0.64,0,0.78,0,1.63,6.76,0,2.33,10.93,74.3,1.13,2.39,3.67,3458.5,1.52,22.29,1.93,0,0,4.3,0,0,6.21,0,0,819.72,0.85,0,3.21,0.63,21.92
 96-106,0,0,1.72,26.2,46.11,1.14,716.36,0,1,0.82,154.91,0,0,0,3.32,7.7,0,6.47,9.85,3.42,40.28,0.71,0,1.43,2802.59,0,37.22,0.61,0,1.51,8.18,0,0,0,0,0,222.11,0,2.7,0,0,46.21
108-118,0,0,4.44,44.64,11.73,0,737.09,0,0.74,1.46,174.37,1.17,0,0,3.36,6.3,0.84,0,3.13,0,47.98,1.22,2.19,0.68,4332.89,0,37.36,1.15,0,0,1.29,0,0,0.61,0,0,196.75,4.1,0,1.65,0,8.29
120,0,0,0,45.57,0,14.33,583.18,2.24,0,0,159.37,0,0,0,2.39,2.19,0,0,7.41,0,34.55,0,0,1.88,4896.71,13.67,31.96,5.44,0,3.68,1.09,0,0,6.3,0,0,121.48,0,0,6.65,0,0
