stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,8447.14,152823.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6178.52,0,0,0,0,0,0,0,0,0,0,0
  5-6,14902.5,207480.99,0,186.8,0,0,0,0,0,0,0,0,0,793.08,0,0,0,0,0,0,0,0,0,0,0,7194.4,481.79,0,0,1447.52,0,4436.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,3721.56,3163.85,0,3804.47,0,18.93,0,8851.03,0,0,0,0,0,3896.77,0,0,0,0,0,0,0,0,0,0,0,86068.58,3770.24,0,0,29191.71,0,364.05,718.07,0,51.69,0,0,0,0,0,0,0,0
 10-12,47.92,1361.41,0,2894.97,0,293.76,0,4397.54,0,0,0,0,0,1208.76,0,0,0,0,0,3.73,0,0,0,0,3.87,40169.04,2902.33,0,0,15918.61,0,68.56,305.59,79,1736.08,0,153.06,60.11,0,0,0,0,0
 14-21,8.74,12.46,73.7,475.46,8132.1,1915.92,0,3029.95,0,91.01,0,580.78,287.97,386.26,70.8,108.95,426.95,15.26,23.85,71.06,154.85,2441.7,70.09,0,2327.08,24107.18,2790.76,147.83,541.7,974.89,0,724.02,188.71,4475.41,753.78,1575.59,9751.65,10201.41,0,0,439.81,0,160.2
 24-34,0.88,0.83,61.22,209.88,3052.84,233.03,0,3469.49,42.19,332.91,59.57,995.49,86.19,68.12,158.12,229.68,729.8,73.59,173.78,155.58,310.88,3972.35,139.81,16.96,1895.82,31512.31,987.74,500.98,542.02,0,12.36,1269.32,18.58,13.14,710.33,597.19,1518.67,10253.74,0,0,2011.81,0,386.02
 36-46,1.07,0,27.59,19.44,1475.77,51.9,0,4572.55,103.67,314.48,254.85,2098.12,85.39,51.9,163.48,377.58,410.15,80.87,140.07,143.41,271.33,4747.54,111.7,90.01,1390.22,38388.42,1083.79,484.61,329.04,16.41,15.23,1677.08,39.86,16.61,446.91,456.25,45.52,11933.01,0,7.4,1913.54,5.43,357.5
 48-58,5.73,1.29,17.66,18.88,1342.71,28.11,0,6970.57,84.98,505.24,351.91,3915.18,88.78,234.54,134.53,307,162.48,115.74,131.35,151.97,184.77,5850.81,88.68,177.29,1011.01,40334.36,641.8,301.72,312.71,0,24.42,1582.11,4.48,0,350.57,330.49,1.94,10074.65,0,21.9,1916.5,7.54,474.85
 60-70,1.92,0,15.92,4.49,1166.23,71.92,3.39,10528.21,86.47,432.86,396.52,5418.74,184.7,89.52,102.09,402.77,136.14,177.98,82.16,170.28,150.78,6735.33,63.02,215.39,718.93,37017.19,279.41,283.28,257.22,0.81,59.87,1319.1,7.04,0,394.79,141.12,0,6658.55,33.19,203.44,1455.3,60.97,527.82
 72-82,0,0,69.49,2.74,1166.15,112.64,20.4,11248.02,78.45,341.76,434.64,6016.76,395.33,40.64,116.9,381.73,233.44,177.28,115.9,262.09,90.31,8307.14,72.92,256.73,596.78,34847.33,174.72,380.76,367.37,1.13,93.04,1198.2,8.91,0,539.92,75.27,0,3554.88,129.24,294.42,2463.61,221.24,468.64
 84-94,0,0,77.13,20.12,1982.23,159.14,50.35,10214.98,72.98,624.98,330.63,4708.96,747.41,54.63,80.67,567.82,370.55,267.25,186.63,788.72,145.16,7244.29,115.59,345.11,476.05,22950.28,327.71,429.21,476.25,0,55.03,3398.93,11.21,0,1125.52,106.36,0,2551.18,282.25,370.59,1549.49,218.48,387.14
 96-106,2.68,0,63.4,24.21,2699.42,379.54,46.15,10557.37,117.82,781.51,404.45,5834.05,861.25,3.7,164.04,622.57,415.63,273.84,226.9,1236.26,80.02,6981.21,145.5,278.27,495.17,20438.61,211.37,692.59,648.44,0,149.93,3302.03,26.11,0,1053.97,113.35,0,1399.09,349.4,380.51,2350.58,273.88,487.33
108-118,3.52,0,57.38,31.43,2461.22,176.06,139.56,9745.13,101.99,1027.08,370.83,5619.11,844.01,0,103,517.87,372.46,402.7,161.17,2190.43,117.56,6975.17,150.89,256.93,521.81,20553.51,250.65,473.49,579.21,0,183.89,3023.14,1.06,0,941.59,93.26,0,989.76,345.79,416.46,1906.3,260.2,492.63
120,1.19,0,51.67,0,1831.01,145.15,64.06,7512.01,84.24,658.76,337.69,5976.39,528.94,5.2,92.62,805.4,165.99,341.87,85.01,1099.51,35.93,5815.88,67.53,376.07,461.33,24820.75,378.69,417.64,505.2,0,181.96,1557.49,12.48,2.24,626.72,21.94,0,969.36,150.45,280.12,2108.16,272.44,219.53
