stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.95,104.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.88,179.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.25,10.28,0,11.42,0,0,0,29.12,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0,0,291.41,24.53,0,0,90.14,0,0,13.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.4,0,53.88,0,0,0,33.51,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,438.7,14.6,0,0,194.65,0,0,14.9,4.76,21.74,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.07,25.09,18.91,0,14.34,0,0,0,5.47,0.97,0,1.23,1.74,0.8,0,0,2.94,0,25.25,0,0,8.55,178.08,1.31,0,4.4,5.64,0,20.35,1.53,24.07,0.81,3.56,33.44,91.61,0,0,6.72,0,0
 24-34,0,0,0.8,4.55,13.48,1.94,0,24.46,0.72,2.13,0,10.78,1.42,0,0,8.49,2.01,0,0,0,0,49.03,0,0,18.97,494.35,2.26,7.32,8.95,0,0,21.96,1.06,0,0,0.99,6.26,122.63,0,0,37.1,0,7.73
 36-46,0,0,0,0,10.41,0.81,0,45.34,0,0,2.02,20.09,0,0,0.73,2.84,0,0,0.7,4.83,15,34.31,0,1.06,8.64,908.11,10.03,10.18,7.67,0,0,23.91,0.81,0,10.34,2.99,0.74,169.76,0,0,8.11,0,4.59
 48-58,0.77,0,0,0,11.88,0,0,194.89,1.98,4.79,2.91,42.54,4.06,0.74,0,1.51,0.48,0.4,1.22,0,0.45,56.36,0.95,4.44,19.51,986.74,2.73,8.51,2.89,0,0.56,8,0,0,0,2.92,0,175.19,0,0,19.1,0,13.94
 60-70,0,0,0.86,0,8.76,0,0,388.45,5.72,0.86,1.51,46.11,1.87,0,2.24,18.53,0,0.66,0,0,3.18,52.7,0,2.35,8.39,1146.24,1.76,4.73,10.77,0,3.37,16.46,0,0,1.88,0.9,0,155.22,0,0,6.18,0,1.56
 72-82,0,0,0,0,8.41,4.1,0,431.63,1.29,4.25,2.48,51.02,0.66,0,3.22,12.05,0,1.62,0.61,0,0,71.16,0,2.85,11.76,873.52,0.5,7.27,5.83,1.13,0.77,8.14,0,0,0.73,0,0,80.03,2.16,0.52,24.2,0,4.09
 84-94,0,0,0,0,16.81,17.83,0,256.41,0.76,3.18,2.07,33.78,2.22,0.99,7.94,12.87,0.64,2.29,0,0.67,0,61.99,0.6,0.99,7.93,658.59,0,0,5.34,0,0,51.72,0,0,1.06,0,0,68.83,0.6,2.71,20.7,5.5,0
 96-106,0,0,1.56,0,10.87,27.29,1.05,276.31,1.6,1.69,8.02,37.95,5.79,0,0,16.8,0.92,7.21,2.43,7.43,1.5,62.31,0.6,0.59,12.2,499.27,0,8.95,10.35,0,7.48,29.88,0,0,1.12,0,0,33.16,0,0.76,20.69,1.29,0
108-118,0,0,0,0,27.04,6.21,5.19,209.28,2.39,4.6,3.34,43.03,0.66,0,0,21.57,3.5,1.64,4.75,0,0,52.51,2.77,2.38,4.19,504.9,0.47,19.77,20.25,0,1.95,31.52,0.79,0,0,1.6,0,22.87,5.48,0.67,40.91,0.99,2.29
120,0,0,0,0,54.51,4.67,0,195.68,21,10.25,0,49.49,12.18,0,0,59.56,1.61,0,1.54,14.95,0,106.4,0,14.11,22.38,1124.45,4.62,5.86,9.06,0,19.49,20.77,0,0,0,0,0,16.37,1.94,0,9.04,1.93,0
