stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1067.52,27953.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,425.94,7087.56,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,197.13,7.94,0,0,8.03,0,113.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,141.11,138.87,0,129.3,0,0,0,352.78,0,0,0,0,0,160.23,0,0,0,0,0,0,0,0,0,0,0,2847.55,196.32,0,0,1130.22,0,19.1,49.71,0,9.82,0,0,0,0,0,0,0,0
 10-12,3.8,118.85,0,169.12,0,47.46,0,220.05,0,0,0,0,0,41.58,0,0,0,0,0,0,0,0,0,0,0,2812.89,144.87,0,0,796.47,0,4.24,46.8,8.37,101.98,0,8.8,9.86,0,0,0,0,0
 14-21,0,0,1.41,4.53,65.38,13,0,27.15,0,0,0,9.95,3.12,0,1.84,0,5.36,0,0,0,1.74,23.04,0,0,29.9,447.23,25.46,2.86,0.85,7.3,0,8.48,1.8,49.92,2.89,5.72,54.4,183.21,0,0,6.55,0,0
 24-34,0,0,2.59,3.65,27.82,0.89,0,60.97,2.67,0.93,0.61,22.93,0.73,6.16,3.45,0,3.87,0,1.64,0,0.8,62.23,0,0,17.53,988.46,12.25,15.61,16.3,0,0,64.66,0,0,7.82,3.17,19.17,245.11,0,0,60.84,0,3.68
 36-46,0,0,0,0,21.64,0,0,132.18,14.07,4.83,5.9,56.23,1.38,0,4.92,3.77,14.55,2.34,1.94,0,6.6,83.51,0,0.8,20.26,1268.22,3.22,18.63,2.47,0,0,62.62,0,0,0.62,10.87,1.91,342.35,0,1.37,19.71,0,6.32
 48-58,0,0,0,0,25.19,0,0,269.79,7.63,1.17,5.24,112.22,0.68,0,3.36,10.95,0.93,0.99,1.41,0.95,3.72,94.98,2.37,1.6,17.14,1093.41,12.12,5.25,3.39,0,0,21.77,0,0,0.61,2.94,0,294.34,0,0,23.9,0,1.91
 60-70,0,0,0,0,16.83,0.57,0,470.06,5.05,7.43,2.31,127.46,0,0,2.3,14.06,0,2.1,2.48,0,10.05,117.57,0,5.09,10.2,1238.68,0,5.54,2.14,0.81,1.65,42.76,0,0,0,2.2,0,199.87,1.37,2.47,15.79,0,12.41
 72-82,0,0,0.53,0,16.25,5.02,0,368.72,11.75,0.51,7.84,96.31,1.8,0,4.39,4.57,0,1.9,2.66,3.11,0,157.49,3.6,7.81,9.94,734.02,0.82,3.93,6.21,0,0,31.01,0,0,0,0.53,0,94.47,3.44,5.8,32.12,1.58,16.36
 84-94,0,0,2.21,0,35.9,6.16,0,250.12,4,3.05,1.26,94.42,8.27,0,8.21,7.1,5.62,11.15,4.14,4.67,5.96,150.05,6.48,12.6,16.69,545.52,4.16,0.93,9.12,0,0,60.51,0,0,2,0,0,114.85,4.61,9.65,45.87,2.9,3.86
 96-106,0,0,1.17,1.07,21.9,9.12,0,199.86,0.78,5.62,11.15,69.07,7.16,0,2.75,9.22,5.76,4.85,1.11,6.62,1.6,101.09,2.07,2.63,11.65,408.49,0.62,6.11,12.38,0,14.79,53.64,1.35,0,1.21,0,0,26.95,7.18,7.45,36.03,11.52,12.17
108-118,0,0,0,0,26.82,11.28,0.55,202.14,8.96,6.59,6.57,81.67,8.96,0,6.77,7.36,8.86,5.7,4.49,3.13,2.97,97.75,0,6.07,12.72,535.83,3.97,9.52,3.2,0,10.49,37.75,0.79,0,2.23,0.86,0,20.29,10.24,2.62,30.44,1.07,3.84
120,0,0,1.22,0,50.54,2.6,3.2,118.83,2.23,19.27,1.6,136.19,17.58,0,0,4.32,0,9.82,6.77,0,1.6,171.98,8.2,5.09,24.4,801,12.75,8,4.93,0,0,19.19,0,0,5.33,5.22,0,56.07,2.25,8.66,38.35,0,0
