stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,56.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.25,0,0,0,0,0,0,0,0,0
  5-6,59.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.56,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.95,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,66.41,3.67,0,0,25,0,164.4,0,0,0,0,0,0,0,0,0
 10-12,31.51,0,5.89,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.89,15.61,0,0,19.5,0,54.08,0,5.54,0,6.54,0,0,0,0,0
 14-21,0,1.11,0,3.3,0,0,2.25,0,0,0,0,0,0,1.15,0,0,0,0,0,0,14.08,0,0,19.89,60.45,2.22,1.08,0,0.91,0,193.6,0.91,0,0,9.01,5.3,0,0,1,0
 24-34,0,0,0,3.26,0,0,5.2,0,0,0,0,0.63,0,4.95,1.55,0,0,0,0,0,20.17,3.97,0,1.6,228.66,0,8.32,0.96,0,0,542.43,0,1.38,1.16,0.59,29.43,0,0,1.43,0
 36-46,0,0,0,1.75,0,0,5.54,0,7.32,0,18.08,0.59,0,0,0,0,3.97,0,0,0,7,0,0,0,291.7,0,9.64,0,0,0,501.45,0,0.58,0,0,33.91,0,0,0.58,0
 48-58,0,0,0,6.26,0,0,26.84,0,0.74,0,39.94,0,0,0,0,0,0.4,0,0,0,10.32,1.63,0,1.22,234.08,0,2.89,0,0,0,412.8,0,5.06,0,0,25.07,0,0,0.51,0
 60-70,0,0,0,7.14,0,0,15.62,0,11.89,0.65,59.94,0,0,0,0.6,0.59,0.67,0,0,1.24,16.93,2.03,0,0.9,143.65,5.22,12.5,0,0,0,439.94,0,0,0,0,8,0.61,0,5.79,0
 72-82,0,0,0,17.1,0,0,8.06,0,5.57,0,31.8,0.71,0,0,1.27,9.54,0,0,0,0,21.17,1.64,0,1.96,64.69,0,11.44,0.51,0,1.53,234.71,0,0,0,0,10.74,0,0.52,0,0
 84-94,0,0,1,69.81,0,0,17.5,0,10.99,0,16.23,3.74,0,0,2.94,4.24,0,1.91,1.14,0,11.6,3.01,0,0.78,95.5,0,13.85,0,0,0,638,0,0.58,0,0,11.14,4.93,0.9,0,0
 96-106,0,0,0,68.45,0.8,0,4.22,0,5.27,0,31.6,4.33,0,0.73,3.81,0.63,0,0.82,7.89,0,11.9,3.75,0,0.58,40.9,0.98,20.72,0,0,0,513.89,0,0,0,0,1.72,2.24,0,0,1.22
108-118,0,0,0,75.5,0,0.43,6.27,0.84,13.21,0.73,26.3,6.58,0,0,5.64,12.28,0,0.81,1.98,0.61,22.81,5.95,0,0.79,53.53,0,19,0,0,0,539.21,0,0.42,0,0,0,1.21,0,1.88,0.51
120,0,0,0,150.23,0,0,7.09,0,17.6,0,12.36,8.33,0,4.47,1.14,7.4,0,0,0,0,14.17,9,19.03,1.54,71.63,0,34.4,0,0,0,474.76,0,0,0,0,0,0,0,0,0
