stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,650.95,7817.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,321.3,7349.38,0,13.2,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,207.38,34.85,0,0,71.33,0,81.67,0,0,0,0,0,0,0,0,0,0,0
  7-9,110.66,307.26,0,235.83,0,0,0,677.41,0,0,0,0,0,214.16,0,0,0,0,0,0,0,0,0,0,0,5521.35,168.41,0,0,1721.74,0,23.3,41.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,184.11,0,249.57,0,20.59,0,482.78,0,0,0,0,0,90.69,0,0,0,0,0,0,0,0,0,0,3.87,5770.13,76.35,0,0,1661.64,0,0,22.57,0,205.4,0,15.65,4.51,0,0,0,0,0
 14-21,0,1.47,0,31.26,464.82,221.71,0,487.78,0,0,0,60.7,14.43,9.38,0.89,3.2,20.33,1.5,0,9.98,1.82,244.8,2.21,0,170.64,4491.71,41.24,9.24,43.12,97.81,0,98.29,5.76,464.89,20.89,9.85,463.47,1011.95,0,0,10.43,0,5.18
 24-34,0,0,0,19.3,125.99,50.3,0,980.41,0,3.98,13.86,72.28,4.91,0.74,11.79,24.11,10.35,7.96,17.41,14.05,11.29,522.74,3.41,1.21,172,5943.6,12.36,53.79,85.11,1.99,0,159.65,0,0,6.65,3.38,85.78,1083.27,0,0,99.08,0,10.13
 36-46,1.07,0,1.84,0,50.59,4.69,0,1285.19,0,5.43,14.1,155.54,7.12,0,3.78,23.48,3.28,10.48,11.55,9.4,2.88,378.88,4.9,3.43,93.61,4542.1,10.25,34.04,29.28,0,0,120.24,0,3.9,12.38,0,2.78,816.66,0,0,57.53,0,5.52
 48-58,0.39,2.59,0,3.56,85.06,2.68,0,1681.71,1.35,15.5,35.48,296.46,12.32,0.49,8.84,17.47,2.47,17.4,11.75,10.58,20.82,478.57,3.64,17.76,85.39,3291.64,5.9,19,16.4,0,0.85,86.75,0,0,0.42,3.66,0,541.33,0,0,60.69,0,42.31
 60-70,0,0,0,0,57.75,5.22,0,1580.11,6.16,13.15,21.87,170.5,40.76,0,5.07,17.63,24.91,7.59,7.45,5.67,16.05,392.22,11.71,17.62,69.64,2252.21,7.52,24.71,13.79,0,0,42.33,0,0,4.15,3.26,0,265.37,0.61,2.97,30.52,6.33,18.95
 72-82,0,0,3.11,0,66.94,61.59,1.65,1058.82,1.14,4.56,33.46,178.61,34.9,1.1,8.87,42.06,4.58,6.62,12.98,3.49,0.64,444.68,8.17,14.1,71.33,1702.76,3.26,23.84,35.7,0,5.01,41.84,0,0,1.39,0,0,134.08,6.73,11.62,65.3,11.95,18.59
 84-94,0,0,3.42,1.01,87.68,31.46,4.83,815.39,3,12.49,23.01,98.26,32.87,0,0,33.96,12.39,10.26,16.11,18.09,15.4,343.46,0.62,50.24,72.58,1120.53,5.12,12.74,15.59,0,6.83,140.39,0,0,5.7,0.63,0,47.71,5.14,4.82,48.12,16.23,14.9
 96-106,0,0,10.39,0,93.18,52.53,2.63,676.13,3.25,18.84,26.02,139.4,41.24,0,15.22,42.22,11.58,1.91,17.36,15.86,2.07,259.71,5.42,5.56,48.76,927.09,7.46,31.96,37.72,0,10.99,117.83,0,0,5.06,0.6,0,47.44,4.94,3.83,67.81,10.58,17.57
108-118,0,0,1.21,0.44,97.46,46.59,12.07,702.32,5.63,12.55,11.54,160.04,26.72,0,1.7,46.42,10.98,15.4,10.85,24.77,2.08,275.88,5.77,26.06,63.24,1340.91,1.73,19.59,27.78,0,8.83,84.37,0.79,0,2.81,0.47,0,32.27,4.42,6.48,52.33,4,1
120,0,0,3.64,0,161.75,33.11,0,524.35,2.35,11.74,14.52,204.69,19.99,0,1.54,79.01,6.86,1.18,14.73,4.13,0,260.67,0,6.94,65.23,1434.01,10.54,24.12,45.65,0,0,96.14,0,0,0,6.07,0,65.73,3.44,9.79,128.97,15.06,4.74
