stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.32,673.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.45,887.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.68,15.57,0,0,13.07,0,56.58,0,0,0,0,0,0,0,0,0
  7-9,23.09,49.35,35.94,0,0,0,116.2,0,0,0,0,0,58.66,0,0,0,0,0,0,0,0,0,0,0,1337.9,30.61,0,0,332.08,0,0,13.47,0,0,0,0,0,0,0,0
 10-12,0,30.34,50.54,0,5.46,0,89.09,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0,0,0,0,922.01,7.81,0,0,195.28,0,6.16,0,0,35.66,9.11,0,0,0,0,0
 14-21,0,0,4.18,73.35,3.08,0,5.33,0,0,0,0,2.91,0.86,0,0,4.44,0,0,0,0,10.04,0,0,15.44,109.24,1.4,0,3.41,1.41,0,10.22,2.13,12.77,0.81,7.75,21.16,0,1.97,0,0
 24-34,0,0,2.04,15.88,0,0,25.45,0,1.04,0,1.11,0,0,0.98,1.36,2.01,0.7,1.2,0,0,31.72,0,0,3.97,104.44,9.07,1.67,3.55,0,0,44.97,0,0,0,1.24,17.93,0,12.51,0,0
 36-46,0,0,0,5.67,0,0,9.89,0,0,0,1.35,1.95,0,1.45,1.62,0,0,0.7,0,0,15.49,1.19,0,2.81,43.45,0,0,7.69,0,0,50.74,0,0,0,0,9.25,0,4.77,0,0
 48-58,0,0,0,1.33,0,0,17.83,1.09,0.37,1.49,1.88,0,0,0,7.08,0,0,0.44,0,0,18.55,0,0.39,3.63,51.73,0,0,0.89,0,0,12.63,0.56,0,0,0,7.35,0,5.52,0,3.4
 60-70,0,0,0,2.18,0,0,10.43,0,0,0.62,3.25,0.75,0,0,4.38,0,0,0,0,0,14.59,0,0,2.48,35.56,0,2.38,0,0,0,11.49,0,0,0,0,3.06,0,5.62,3.84,0
 72-82,0,0,0,2.7,2.54,0,9.65,0.55,0,0,2.22,0,0,0,6.13,1,0,0,0,0,19.15,0,0,2.22,23.11,0,0.53,0.58,0,0,2.88,0,0,0,0,1.33,0,5.42,0,0
 84-94,0,0,0,4.08,0,0,11.51,0,2.31,2.08,1.77,0,0,0,13.81,0.64,0,0,0,0,15.53,0,0,0,25.83,0,0,1.73,0,0.91,4.8,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,6.05,3.59,0,3.86,0,2.58,0,1.81,1.46,0,3.85,17.31,0.86,0,0,0,0,15.55,0,0,0.8,17.81,0,0.89,2.73,0,0,6.29,0,0,0,0,0,1.16,0.7,0,0
108-118,0,0,0,4.55,0,0.55,13.81,0,2.16,1.87,3.44,0.51,0,1.59,16.47,1.03,0,0,0.88,0.94,27.26,0,2.56,0.66,37.84,0,0,0,0,0,26.85,0,0,0,0,0,0,3.25,0,0
120,0,0,0,6.17,0,0,20.1,0,0,0,5.65,0,0,0,27.08,1.29,0,0,12.82,0,10.69,0,0,15.51,10.98,0,0,0,0,0,1.89,0,0,0,0,0,0,1.41,0,0
