stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.59,377.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,222.35,1170.83,0,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.94,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.82,27.45,0,984.41,0,0,0,102.35,0,0,0,0,0,23.04,0,0,0,0,0,0,0,0,0,1599.77,43.08,0,0,563.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.38,0,689.56,0,72.83,0,65.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151.84,15.58,0,0,523.55,0,0,3.03,0,222.47,0,7.74,0,0,0,0,0,0
 14-21,0,0,0,56.93,443.55,60.27,0,9.67,0,0,0,2.27,48.77,1.18,20.35,0,0,0,9.54,257.35,1.03,0,120.72,379.91,18.35,4.88,144.27,26.25,0,1.2,0,65.47,12.84,19.7,1876.95,68.59,0,0,48.01,0,0
 24-34,0,0.83,0,17.92,34.81,4.22,0,7.5,0,1.65,0.86,10.08,5.55,0,16.33,0,0,0.7,0.86,150.6,0,3.95,39.57,243.62,1.85,11.61,17.56,0,0,1.78,0,0.85,13.79,4.79,673.35,47.54,0,0,232.79,0,0.76
 36-46,0,0,0,2.19,16.4,0,0,9.05,1.17,0,4.06,44.75,0,0,26.1,0,0.77,0,0,175.28,0,3.05,43.21,88.9,0.71,5.84,2.43,0,3.38,2.48,0,0,11.36,0,26.55,25.39,0,0,170.85,0,0
 48-58,0,0,0,0.82,13.46,0,0,23.58,1.02,8.82,4.24,17.78,0,0,9.07,0,0,0,0,224.5,0,20.97,17.1,64.43,0,3.09,0.95,0,1.54,3.04,0,0,0.68,0,0,8.76,0,1.22,159.91,0,0
 60-70,0,0,0,0,6.02,0,0,22.06,0,0,4.05,26.73,0,0,5.31,0,0,0,0,415.04,0,57.5,18.83,46.69,0,2.91,0,0,19.59,0,0,0,9.58,0,0,4.25,0,27.33,101.1,9.09,0
 72-82,0,0,0.98,0,12.75,2.17,0,22.63,0,0,2.8,56.49,0,0,7.35,0,1.28,1.57,0,506.37,0.77,58.48,12.88,29.1,0,2.25,1.51,0,43.35,0,0,0,10.26,0,0,2.09,0,64.28,201.48,48.12,0
 84-94,0,0,0,0.73,14.52,0,0,40.29,0,3.34,0.59,46.66,0,0,5.36,1.41,2.38,0,0,427.68,0,75.16,8.58,37.1,0,7.49,0,0,20.96,2.12,0,0,8.18,0,0,2.36,0,53.82,163.88,27.93,0
 96-106,0,0,0,1.86,9.72,9.63,0,30.93,0,0.58,7.99,68,3.75,0,14.41,0.65,0,0,0.57,413.13,0,80.19,8.97,36.14,0,9.36,3.78,0,99.72,1.59,0,0,12.33,0,0,5.59,1.17,57.02,217.99,58.61,5.9
108-118,0,0,0,7.01,13.21,3.62,0.45,15.64,0,0.99,1.9,40.88,1.54,0,7.27,0,0.95,0,2.37,528.34,0,90.08,10.39,65.01,0.44,6.34,0,0,101.57,3.08,0,0,11.21,0,0,0.44,0,45.24,181.98,77.19,0
120,0,0,0,1.28,20.28,0,0,25.57,0,4.02,1.66,44.63,0,0,17.77,0,1.45,0,23.45,446.43,0,44.32,6.42,71.21,0,4.86,0,0,89.94,4.02,0,0,1.62,0,0,0,0,86.34,297.39,58.64,0
