stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,46.09,621.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.26,276.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,17,16.55,0,4.19,0,0,0,31.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.09,15,0,0,65.63,0,5.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.37,0,36.03,0,0,0,25.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.91,12.78,0,0,106.13,0,8.17,9.06,0,13.13,0,0,5.32,0,0,0,0,0
 14-21,0,0,3.1,3.31,41.92,8.94,0,10.02,0,0.92,0,3.84,1.92,0,1.66,0,0.86,0,0,0,0,17.91,0,0,19.46,176.45,6.38,2.73,4.1,2.02,0,2.88,0,22.46,2.52,1.83,32.73,54.7,0,0,0.82,0,0
 24-34,0,0,1.26,2.02,44.25,6.6,0,60.08,0,9.88,4.54,8.18,1.01,0,6.05,0.65,16.57,0.92,3.47,0,2.43,83.08,7.77,0,42.07,618.89,15.38,19.23,6.77,0,0,31.43,0,0,18.57,6.29,6.93,166.75,0,0,34.21,0,21.1
 36-46,0,0,0,0.63,23.98,8.32,0,110.79,1.29,15.35,6.64,39.8,2.15,0.76,2.43,2.38,53.7,1.67,2.26,0,1.8,114.54,6.53,2.8,44.14,845.63,2.76,6.21,13.06,0,0,81.61,0,0,12.54,0,0,205.13,0,0.62,18.64,0,3.9
 48-58,0.58,0,0,0,36.19,6.65,0,254.98,7.01,10.63,15.94,111.99,1.64,2.04,3.91,3.32,1.34,3.38,4.66,0,10.53,208.54,3.04,3.94,35.94,1094.83,12.84,6.23,19.97,0,0.64,40.07,0,0,11.22,1.51,0,250.21,0,0.81,17.14,0,33.07
 60-70,0,0,0,0,32.22,13.67,0,339.88,4.66,18.71,9.5,159.92,10.84,0,3.85,5.25,12.44,16.26,5.38,2.19,5.25,294.91,19.96,1.48,16.12,1079.85,4.66,4.08,15.39,0,0,51.34,0,0,11.12,0,0,131.65,0,6.75,0.58,1.95,29.77
 72-82,0,0,11.05,0,37.92,232.3,0,397.29,0,23.16,31.37,195.36,15.66,1.79,4,3.04,2.09,8.38,9.61,0.62,7.37,337.89,11.05,20.07,34.3,1213.43,0.51,11.99,25.7,0,6.18,45.86,1.65,0,49.04,1.5,0,102.49,9.55,14.38,36.07,6.51,41.8
 84-94,0,0,2.72,2.04,57.41,232.54,0.89,294.74,3.29,12.9,5.63,159.4,40.97,2.66,4.19,11.07,6.01,4.98,6.08,2.05,12.44,295.61,7.63,19.38,18.59,688.09,3.52,26.84,18.32,0,4.13,102.42,0,0,68.62,0,0,53.43,8.99,13.89,18.59,7.78,30.88
 96-106,0,0,6.57,0,53.62,367.6,0,304.59,3.98,18.68,14.1,202.57,51.39,1.06,3.01,16.79,21.79,5.35,11.38,11.82,7.24,290.67,14.2,18.25,20.88,718.15,5.03,14.58,25.61,0,6.01,85.38,0,0,59.32,1.21,0,47.44,11.32,5.32,35.6,9.51,22.92
108-118,0,0,1.8,1.72,76.63,162.87,2.2,272.38,2.4,21.52,10.13,206.96,65.52,0,2.62,13.6,16.17,23.1,11.44,8.88,16.41,260.55,10.88,8.64,28.54,761.29,5.19,11.37,23.93,0,5.59,86.51,0,0,51.33,2.69,0,24.62,24.62,3.3,26.8,14.94,32.03
120,0,0,0,0,138.66,179.77,0,267.48,11.92,18.31,41.27,257.9,73.51,0,2.27,27.23,3.9,12.36,36.76,26.62,2.94,329.49,13.61,24.02,25.32,1090.63,0,6.97,64.22,0,57.14,38.09,2.5,0,42.32,1.21,0,21.9,13.08,20.62,35.01,11.8,8.31
