stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,128.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.74,0,0,0,0,0,0,0,0,0
  5-6,17.02,211.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.02,16.13,0,3.99,0,0,0,50.04,0,0,0,3.2,0,0,0,0,0,0,0,0,0,247.82,0,0,0,70.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,7.71,0,0,0,11.62,0,0,0,3.53,0,0,0,0,0,0,0,0,0,164.63,0,0,0,81.52,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14.29,0,0,3.99,0,2.4,0.85,0,0.96,0,0,0,0,1.07,1.79,0,10.7,66.17,2.04,0,0,2.13,3.33,2.75,1.66,10.15,20.41,0,0,0,0,0
 24-34,0,0,0,0.74,0,0,0,4.44,0,1.79,1.6,0,1.36,0.72,0,0,4.26,0,1.49,0,0.61,102.17,0,0,0,0,1.93,0,10.31,1.03,19.05,0,0,2.58,0,0
 36-46,0,0,0,0,0,0,0,11.37,0,1.82,0,0,0,0,0,0,0.83,0,3.78,0.67,1.41,53.66,0,1.16,0,0,6.19,0,19.49,0,10.09,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,26.37,0,3.99,0,0,0,0,0,0,8.74,19.54,7.91,0,0.61,95.54,0,0,0,0,13.1,0,22.49,0,8.14,0,0,0,0,0
 60-70,0,0,0,0,1.23,0,0,35.49,0,3.34,0,0,0,1.47,0,0,7.02,13.24,1.38,0,0.75,62.83,0,0,0,0,2.92,0,10.43,0,2.96,0,0,0,1.13,0
 72-82,0,0,0,0,0,2.94,0,28.9,0,12.01,0.53,0,0,0,0,0,32.17,0,6.79,0,0.6,54.47,0,0,0,0,2.86,0,14.1,0,3.34,0,0,1.03,0,0
 84-94,0,0,1.44,0,0,0.69,0,22.46,0,6.71,0,0,0,1.4,0,0.7,112.18,0,6.27,0,2.5,24.49,0,0,0.72,0,0.88,0,29.54,0,5.87,0,0,3.65,0,0
 96-106,0,0,0,0,3.24,0,0,17.92,0,4.74,0.56,0,0,1.37,0,0,145.88,0,2.49,1.11,0,40.51,0,0.81,0,0,16.16,0,34.62,0,4.23,1.57,2.59,2.8,0,0
108-118,0,0,0,0,6.09,4.48,0.56,26.04,0.76,2.59,1.61,0,0,0.54,0,0,334.56,0,11.7,0.46,3.77,62,0,0,0,0,9.87,0,15.01,0,0,2.76,0,0,0,1.58
120,0,0,0,0,1.62,2.39,0,29.34,0,20.95,1.74,0,0,0,1.05,0,298.25,0,5.88,0,1.56,58.18,0,0,0,0,6.66,0,7.09,0,0,0,0,0,0,3.14
