stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.64,125.29,43.74,0,94.54,0,0,0,29.53,4.04,0,2.02,0,0.85,0,0,0,0.91,79.91,0,0,45.6,1228.37,27.41,3.83,11.68,24.67,0,4.67,1.99,149.16,2.61,1.95,126.24,306.42,0,0,6.33,0,0
 24-34,0,8.78,62.82,9.17,0,324.97,0,3.49,6.03,62.2,7.11,0,7.33,4.76,2.18,3.95,6.84,3.51,1.39,210.62,1.03,1.63,82.13,2852.31,4.17,14.57,24.77,0,0,41.57,0,0,8.82,8.22,24.67,519.79,0,0,52.51,0,2.92
 36-46,0,1.13,63.83,8.78,0,458.17,0,1.99,9.75,85.35,4.55,0,2.12,2.47,4.43,2.48,2.64,3.26,2.25,242.06,1.77,3.62,44.37,1797.71,4.42,21.13,5.56,0,0,29.1,1.61,1.91,0,0,0,329.34,0,0,30.86,0,8.54
 48-58,0.42,0.76,36.19,1.96,0,676.12,0.38,13.76,6.84,182.01,8.46,0,2.88,1.4,4.1,12.45,6.83,15.26,0,277.48,0.98,12.04,55.8,1126.06,9.51,12.43,11.26,0,0.93,41.15,0,0,0.53,0,0,194.46,0,2.49,26.86,0,3.12
 60-70,0.7,0,69.48,0,2.15,570.07,0,17.46,7.14,121.26,13.2,0.89,1.74,10.76,6.37,0.61,8.39,8.49,10.04,293.4,2.63,18.5,32.55,878.4,5.05,15.67,15.15,0,1.22,38.46,0,0,7.91,0.62,0,106.92,1.44,6.11,31.45,0,13.93
 72-82,4.05,0,56.07,15.43,0,478.94,2.5,3.24,9.02,127.92,11.43,0,5.74,12.49,6.27,0.52,7.42,11.61,7.18,302.56,2.75,5.43,38.08,543.66,9.73,16.75,8.01,0,4.78,17.57,0,0,1.7,0,0,73.68,1.77,6.22,40.73,6,4.06
 84-94,2.22,0,50.98,10.54,0,313.47,0,8.38,13.39,93.67,10.07,0,4.71,30.46,10.52,3.06,2.94,12.07,0,253.19,2.2,16.63,36.28,408.15,2.68,26.53,20.14,3.85,5.83,46.55,0,0,3.15,0,0,45.85,10.64,4.86,34.01,13.99,1.25
 96-106,1.23,0,50.73,17.41,0,224.76,0.71,2.44,4.52,86.65,9.97,0,3.42,18.53,2.05,0.72,13.26,13.4,1.13,210.41,4.19,15.07,30.25,403.05,1.24,9.26,3.34,0,5.1,51.03,0,0,1.36,0.82,0,40.04,4.14,8.9,34.54,5.72,2.16
108-118,11.16,0.74,51.55,10.09,6.2,257.68,0,6.85,12.11,133.65,7.08,0,2.12,20.91,7.76,7.14,2.64,3.33,2.1,232.96,0.53,10.76,34.8,512.4,5.02,12.92,7.38,0,3.15,44.82,0.79,0,0.42,0,0,25.17,3.58,6.09,31.48,11.04,7.25
120,11.35,2.94,117.76,29.01,0,257.76,0,9.27,11.91,191.72,5.47,0,0,56.39,7.69,9.45,11.74,10.84,1.61,395.31,5.79,41.7,76.41,914.78,14.55,38.01,19.22,0,27.75,41.71,1.53,0,1.13,1.6,0,39.94,1.1,13.06,71.76,19.94,8.4
