stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,7.15,142.3,24.93,44.12,0,0,0,8.81,0,17.3,1.96,2.01,2.15,0,0,75.91,3.25,52.68,253.96,6.15,0,0.8,5.15,142.08,46.69,7.07,5.24,35.17,45.5,0,0,0
 24-34,0,2.85,0.98,15.28,0,0,0,0,0,0,0,0,1.47,0,0,7.12,0,0,90.58,0,0,1.32,0,3.4,0,0,0.65,1.13,9.14,0,2.58,0
 36-46,0,4.68,0,42.9,0,0,0,0.7,2.36,0,0,0,0,0,0,11.89,0,0,69.62,1.66,0,0,0,4.25,0,0,0,0,14.45,0,0.69,0
 48-58,0,0,0.47,24.86,0,0,0,16.13,0,0,0,0,0,0,0,2.49,0,0,50.2,0,0,0,0,0.68,0,0,0,0,6.29,0,3.17,0
 60-70,0,0,0.63,40.78,0,0,0,0.64,0.95,0,0,0,0,0,0,8.81,0,0,32.67,0,0,0,0,3.68,0,3.99,1.58,0,4.21,0,0,2.69
 72-82,0,0.51,3.01,19.31,0,0,5.14,0.74,0,0,0,0,0,0,0,11.17,0,0.7,26.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0.7,1.65,63.06,0,0,0,4.84,0.89,0.66,0,0.93,0.92,0,2.4,0.91,0,2.16,22.89,0,0,0,0,1.16,0,0,0,0,0,0,0,0
 96-106,0,0,5.1,95.16,0,0,1.31,1.55,0.66,0,0,0,0,2.35,0,2.39,0,0,16.09,0,0,0,0,0.66,0,0,0,0,0,1.21,0,0
108-118,0,5.45,19.2,98.2,0.54,0.47,1.76,13.44,1.32,0,0,0,1.02,0,1.88,8.91,0,0,32.75,0,1.31,0.81,0,1.64,0,0.43,0,0,0,0,0,1.54
120,0,0,1.79,93.55,0,0,0,5.29,0,0,0,9.4,0,0,3.84,3.74,0,0,14.04,0,0,5.44,0,1.04,0,0,0,0,0,0,0,0
