stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.82,3.84,14.35,2.01,6.45,0,0,0,7.35,1,0,0,0,1.18,0,0,0,0,9.51,0,0,9.83,212.59,0.9,0.83,0,1.77,0,2.52,11.09,1.8,0,7.39,76.23,0,0,0,0
 24-34,0.6,0,10.48,2.58,45.98,0,0,0,12.62,0,0,0.62,0,1.69,0,0.63,0,0,47.73,0,0.82,10.28,841.06,12.09,11.67,10.89,0,0,11.84,0,0,0,6.88,169.08,0,7.31,0,0
 36-46,0.98,0,2.69,0,166.1,0,0,0,35.85,0,0,1.61,0,5.76,0.65,0.65,0,1.29,44.14,0.63,0.88,6,1277.05,0.71,8.4,10.63,0,0,4.77,0,0.63,1.12,0,273.02,0,5.48,0,0
 48-58,0,0,5.98,0,305.07,0,2.55,2.28,60.97,0,0,1.15,0,0,0,0,0,0,61.82,0,1.71,8.19,1148.85,3.47,5.21,0.63,0,0,14.65,0,0,0,0,217.95,0,2.35,0,0
 60-70,0,0,4.63,0,572.94,1.28,0,3.84,53.87,5.79,0,0.78,0,0,1.86,0,0,0,88.46,0,3.28,4.04,932.88,0,4.98,4.98,0,0,1.98,0,0.67,1.71,0,224.03,1.15,3.87,0.59,4.26
 72-82,1.66,0,3.5,0.86,311.96,0,7.42,9.18,20.88,1.67,0,2.37,1.14,0.55,0,0.88,0,0,77.76,0,4.46,11.79,481.93,0,2.51,0.66,0,0,3.54,0,0,0,0,52.61,1.85,2.15,2.2,0
 84-94,0,0,10.75,0,189.08,0,0.74,2.24,16.44,0.72,2.81,0,0,2.33,2.9,0,0,0,32.24,0.75,2.29,1.74,335.91,1.99,0.93,26.72,0,0,15.34,0,0.76,0,0,44.5,2.62,3.17,0.78,0
 96-106,0,0,4.93,3.48,163.7,0,0,1.81,19,3.08,0,0.61,0.69,1.13,0.57,0.88,4.97,0.69,46.85,0,0,6.59,202.19,0,2.22,2.01,0,2.69,11.62,0,0,0,0,8.38,0,0,0,0
108-118,0.71,0.74,3.07,0,77.23,0,0.75,2.36,12.09,1.08,0,0,3.83,1.95,5.6,0,0,0,31.55,0,0,2.01,230.4,0,1.96,0,0,0.91,4.48,0,1.88,0,0,13.78,0.69,2.19,0,2.28
120,0,0,18.47,0,134.39,0,2.77,0,23.35,5.81,0,0,8.5,0,0,0,3.38,0,52.94,0,3.2,3.16,359.18,0,1.46,0,0,0,16.52,0,0,0,0,30.5,0,0,0,0
