stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.74,127.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,134.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.41,0,0,0,37.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.53,0,0,0,63.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.72,0,0,0,15.41,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,94.87,0,0,0,43.19,0,0,12.01,0,8.35,0,5.3,0,0,0,0,0,0
 14-21,0,0,0,0,6.15,5.21,0,8.31,0,0,0,2.51,1.21,0,0,0,0,0,0,0,0,4.98,0,0,6.3,119.5,2.46,0,0,0,0,0,0,11.52,1.47,0,9.99,59.17,0,0,2.3,0,0
 24-34,0,0,0.61,0.71,2.52,1.37,0,23.08,0,0.7,2.23,12.97,0.92,0,3.42,0,0,0,0,0,0.9,33.94,0,0,15.91,882.6,4.38,19.3,3.28,0,1.14,2.85,0,0,3.53,1.6,1.25,243.91,0,0,18.54,0,0.63
 36-46,0,0,0,0,11.79,2.99,0,97.66,0.66,0,2.6,49.44,0,0.76,0.63,0,0,0,0.56,0,10.6,46.12,0.63,0,17.96,1827.47,0,28.37,0.61,0,0,21.77,0,0,0,9.49,0,371.56,0,0,16.97,0,6.15
 48-58,0,0,0,0,13.22,4.24,0,484.1,13.32,2.07,2.88,90.03,0,0.49,9.07,0,0,7.07,0.65,6.39,2.27,76.64,1.17,3.96,17.94,2114.58,1.71,8.7,1.06,0,0.73,14.1,0,0,0,7.72,0,367.42,0,0.89,14.14,0.78,9.59
 60-70,0,0,0.57,0,13.76,13.14,0,958.47,4.64,2.02,10.98,92.88,0.62,0,3.07,4.61,4.82,0,1.16,0,0.86,110.45,0,2.23,6.96,2162.84,0.71,13.76,1.23,0,7.07,3.79,0,0,0,12.57,0,296.72,0,5.2,6.87,1.13,26.13
 72-82,0,0,0,0,11.54,115.69,0,941.27,0.51,2.44,5.5,132.78,3.42,0,5.2,1.48,0.53,2.3,1.28,2.9,3.33,113.71,2.63,3.88,5.82,2305.45,1.63,11.66,2.78,0,1.67,3.79,0,0,4.52,2.4,0,183.49,0,2.46,38.7,3.65,3.44
 84-94,0,0,1.81,0,25.21,96.21,0,676.97,0.57,2.7,5.19,122.82,1.61,0,4.72,9.1,1.88,1.56,2.1,0,2.96,109.22,0.86,6.69,18.62,1438.19,1.14,19.84,18.43,0,0,16.98,0,0,1.82,3.04,0,129.96,0,3.55,44.86,5.8,7.73
 96-106,0,0,0.9,0,17.66,145.94,0,506.9,0.9,0,6.46,92.37,10.62,0,17.5,8.63,0,3.46,0,1.44,0,97.86,0,12,4.61,1183.06,1.73,18.33,2.88,0,0,10.5,0,0,1.18,4.24,0,67.88,5.32,2.71,29.58,0.8,21.41
108-118,0,0,6.95,0,14.08,39.56,8.17,548.33,4.1,2.3,2.95,88.76,2.56,0,6.87,8.14,0,17.83,0.87,2.2,5.82,111.49,6.6,7.32,13.64,1326.11,5.92,26.54,13.07,0,0,8.94,0,0,5.92,2.23,0,33.72,4.38,3.26,22.29,11.06,7.39
120,0,0,0,0,33.11,78.56,0,534.38,1.33,2.62,0,176.26,16.52,0,1.85,18.3,0,7.88,0,0,1.6,118.41,16.75,9.47,7.65,2073.77,9.31,16.16,4.29,0,0,3.47,0,0,5.43,0,0,58.48,1.81,2.41,19.11,5.66,22.68
