stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,393.08,7025.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,460.27,8928.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.77,7.03,0,0,80.47,0,154.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,167.43,271.15,0,384.39,0,0,0,962.8,0,0,0,0,0,186.12,0,0,0,0,0,0,0,0,0,0,0,8827.7,318.4,0,0,2855.52,0,10.2,24.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,236.92,0,252.34,0,40.54,0,642.62,0,0,0,0,0,113.1,0,0,0,0,0,5.32,0,0,0,0,0,6437.06,221.18,0,0,2721.33,0,9.46,24.27,20.06,267.33,0,35.06,9.01,0,0,0,0,0
 14-21,0,0,1.41,5.07,244.58,74.79,0,133.66,0,2.5,0,13.67,4.64,27.48,0,0,3.75,0,0,14.06,5.33,79.63,0,0,65.83,1042.11,21.73,8.67,30.86,43.72,0,8.68,7.32,255.7,21.07,7.42,399.98,241.12,0,0,6.72,0,23.56
 24-34,0,0,0.66,4.79,63.41,24.49,0,126.11,0,8.5,1.89,18.25,2.06,3.11,3.08,4.71,1.28,2.37,4.15,8.44,87.7,99.37,0,0,33.64,694.38,9.05,12.02,29.03,0,0,24.43,1.06,0.85,4.14,1.69,68.67,145.24,0,0,47.17,0,18.01
 36-46,0,0,0,0,39.24,2.5,0,100.39,0,0.69,3.23,16,0.72,0,0,7.36,5.32,4.48,0.6,0.56,311.76,65.67,0,0,26.67,590.78,2.76,3.54,6.14,0,0,28.97,3.69,1.95,4.14,24.75,2.85,137.78,0,0,9.75,0,19.07
 48-58,0,0,0,0,25.44,1.49,0,188.11,1.44,2.09,5.66,19.27,1.44,2.55,0.66,4.36,1.66,3.81,1.27,3.36,226.16,77.15,1.48,6.05,26.63,515.54,3.05,1.85,8.88,0,0,22.23,0.98,0,1.71,0,0,76.49,0,1.14,26.5,0,55.71
 60-70,0.81,0,0,0,19.31,2.69,0,270.52,6.2,3.08,4.87,46.07,6.22,0,2.46,2.37,0,7.29,1.62,5.13,82.66,102.58,1.33,0.63,13.98,456.25,0,0,5,0,0,22.36,1.49,0,5.38,0.9,0,52.92,2.74,0.63,15.78,0.98,93.54
 72-82,0,0,1.32,0,17.92,13.93,1.26,206.52,6.54,7.26,19.6,53.43,4.29,0.55,3.02,2.86,1.71,12.49,4.82,16.48,25.59,86.31,0.77,1.85,9.47,309.83,0.58,1.78,9.55,0,1.76,18.02,0,0,0,0,0,20.52,0,3.04,9.98,0.56,40.65
 84-94,0,0,1.42,0,26.78,21.38,9.69,120.22,2.45,3.52,10.26,25.87,17.46,0,1.14,11.02,2.28,17.45,8.96,4.09,86.59,73.05,3.49,17.66,22.54,195.74,0,2.67,19.13,0,0,49.96,0,0,1.3,0,0,7.13,6,1.71,9.09,2.42,47.67
 96-106,0,0,0,0,22.08,62.6,7.15,117.42,0.64,2.11,6.08,29.27,2.25,0,0,14.78,3.65,11.61,0,4.17,11.06,71.95,10.93,2.14,17.2,163.94,0,2.6,13.89,0,5.93,49.29,7.84,0,1.38,0,0,7.5,1.08,0,3.98,1.31,7.02
108-118,0,0,1.15,1.1,26.71,40.87,38.04,116.59,1.69,5.24,3.39,50.06,5.7,0,3.02,15.26,4.53,14.75,6.55,11.39,58.01,96.9,1.29,0.92,25.96,238.61,0.89,4.77,6.77,0,0,45.11,1.49,0,1.58,0.47,0,11.29,0.93,0,15.76,1.49,50.48
120,0,0,4.32,0,95.52,57.45,8.04,70.46,0,6.3,10.06,28.64,20.54,0,0,13.49,4.45,15.2,3.68,28.18,23.97,126.67,0,2.22,22.43,257.01,1.73,5.32,42.19,0,5.5,67.32,1.53,0,8.94,0,0,28.44,0,12.93,3.89,0,20.97
