stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.95,167.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,275.46,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,16.15,0,0,0,12.79,0,0,0,0,0,19.88,0,0,0,0,0,0,0,0,0,0,0,413.69,18.31,0,0,113.18,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.28,0,20.07,0,0,0,26.68,0,0,0,0,0,19.76,0,0,0,0,0,0,0,0,0,0,0,444.11,29.08,0,0,121.89,0,0,3.78,0,8.45,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.19,2.98,0,0,0,0,0,0,0,3.28,0,0,0,6.71,0,0,0,0,4.59,0,0,1.83,212.84,1.92,4.86,0.81,0,0,0,0,0.94,2.63,1.23,5.03,156.49,0,0,0,0,0
 24-34,0,0,5.04,0,7.64,0,0,35.31,0,0,0.67,1.56,0,0,0,0.61,2.27,1.57,0,0,0,2.62,0,0,6.86,2086.73,0.61,85.77,2.71,0,0,4.3,0,0,5.34,0.61,0,636.42,0,0,2.86,0,0
 36-46,0,0,1.92,0,5.18,0,0,131.95,0,5.26,7.2,12.69,0,0,2.28,0,5.13,0,0,0,0,25.78,0,0,1.14,6888.86,0.58,137.02,4.38,0,0,13.45,0,0,4.98,0,0,1471.52,0,0,1.08,0,0
 48-58,0,0,1.09,0,32.78,3.47,0,834.49,0.74,11.07,4.63,134.22,3.39,0,2.52,2.37,5.69,3.23,1.32,1.84,8.93,69.69,2.34,4.25,12.64,11013.94,5.66,88.67,9.93,3.66,0,17.35,0,0,8.17,2.48,0,1966.16,0,0,6.02,0.78,43.24
 60-70,0,0,0,0,24.43,3.46,0,1665.65,0,3.14,20.55,78.14,5.34,0,0,1.78,3.34,0,0,2.74,15.2,59.52,1.01,2.47,22.78,16994.21,1.72,95.72,0.82,0,5.01,31.9,0,0,1.95,1.39,0,2393.64,0,8.49,6.78,0.89,9.93
 72-82,0,0,4.32,0.56,56.73,22.87,0,2019.25,1.11,4.47,18.6,154.43,12.44,0,1.63,3.93,1.27,5.09,4.99,5.43,8.94,178.5,0,10.18,11.14,13374.13,1.07,74.05,13.86,0,3.73,18.49,0,0,1.75,1.06,0,1390.23,1.09,2.42,16.4,5.58,75.51
 84-94,0,0,3.1,0,58.6,27.76,0,1466.88,0.68,0.68,3.54,116.01,4.47,0,0.7,13.36,4.91,7.81,4.18,2.58,10.83,79.63,0,5.41,7.05,8768.12,2.33,57.06,3.13,0,1.01,18.67,0,0,8.39,1.43,0,993.4,0.9,4.65,17.04,1.7,7.59
 96-106,0,0,4.67,0,35.75,27.84,0,1129.58,1.98,0,17.7,123.1,1.93,0,0.91,3.49,2.2,4.12,0,21.01,0,83.91,12.9,2.17,11.08,6147.17,0,51.45,6.33,0,0,35.13,0,0,0,0,0,397.61,2.04,2.28,4.41,3.81,39.78
108-118,0,0,1.22,0,86.87,11.38,1.41,871.98,0,0.96,0.65,138.85,3.18,0,0,10.48,2.1,7.39,0,2.08,0,71.81,1.08,0.74,10.58,8335.96,0,51.95,2.95,0,2.7,9.95,0,0,0.94,0,0,362.93,3.83,0,13.29,0,0.96
120,0,0,7.35,0,40.62,19.75,1.03,1165.21,0,17.06,0,188.94,1.34,0,0,16.08,3.85,8.53,2.6,10.7,0,121.88,0,0,3.76,13202.76,1.48,90.68,13.55,0,0,9.37,0,0,0,0,0,575.09,0,0,24.9,2.27,15.76
